evaluation,metric,value,n,p_value,quantity_status,limitation,value_number_id,n_number_id,p_value_number_id
recommendation_model_score_live_vs_event_cancellation_proxy,balanced_accuracy,0.4773754123355202,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0037-VALUE,N-EVALUATION-0037-N,
recommendation_model_score_live_vs_event_cancellation_proxy,brier,0.25173230718998296,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0038-VALUE,N-EVALUATION-0038-N,
recommendation_model_score_live_vs_event_cancellation_proxy,log_loss,0.7454607203219399,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0039-VALUE,N-EVALUATION-0039-N,
recommendation_model_score_live_vs_event_cancellation_proxy,calibration_intercept,-7.286871223903536,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0040-VALUE,N-EVALUATION-0040-N,
recommendation_model_score_live_vs_event_cancellation_proxy,calibration_slope,-3.9097535036319444,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0041-VALUE,N-EVALUATION-0041-N,
recommendation_model_score_live_vs_event_cancellation_proxy,net_benefit,-0.06710233036373549,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0042-VALUE,N-EVALUATION-0042-N,
recommendation_model_transport,batch_live_changed_rows,4561,38135,,observed,batch_score_is_transport_diagnostic_only,N-EVALUATION-0043-VALUE,N-EVALUATION-0043-N,
recommendation_model_transport,feature_null_changed_rows,4561,38135,,observed,batch_live_difference_concentrated_in_null_feature_rows,N-EVALUATION-0044-VALUE,N-EVALUATION-0044-N,
leakage_check,scored_before_referral_rows,9111,38135,,observed,date_only_score_timestamp,N-EVALUATION-0045-VALUE,N-EVALUATION-0045-N,
leakage_check,scored_after_recommendation_rows,6092,38135,,observed,date_only_score_timestamp_and_no_feature_lineage,N-EVALUATION-0046-VALUE,N-EVALUATION-0046-N,
uplift_targeting,targeted_fraction,0.40759837177747626,11055,,observed,no_treatment_assignment_or_counterfactual_outcome_for_qini_auuc_or_policy_value,N-EVALUATION-0047-VALUE,N-EVALUATION-0047-N,
uplift_targeting,model_auc_reported,0.71,11055,,unreproduced,auc_is_not_uplift_validation_and_no_source_predictions_labels_are_supplied,N-EVALUATION-0048-VALUE,N-EVALUATION-0048-N,
