comparison,n_before,n_after,diff,p_value,supplied_n_before,supplied_n_after,supplied_diff,supplied_p_value,in_deck,count_matches,diff_matches_rounded,p_matches_rounded,reproduction_status,quantity_status,p_adjusted_holm,supplied_p_adjusted_holm,n_before_number_id,n_after_number_id,diff_number_id,p_value_number_id,supplied_n_before_number_id,supplied_n_after_number_id,supplied_diff_number_id,supplied_p_value_number_id,p_adjusted_holm_number_id,supplied_p_adjusted_holm_number_id
service:A-VASC,1436,170,-0.02875634933639193,0.26451451883222965,1371,194,-0.027,0.1972,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0011-N_BEFORE,N-LEGACY51-0011-N_AFTER,N-LEGACY51-0011-DIFF,N-LEGACY51-0011-P_VALUE,N-LEGACY51-0011-SUPPLIED_N_BEFORE,N-LEGACY51-0011-SUPPLIED_N_AFTER,N-LEGACY51-0011-SUPPLIED_DIFF,N-LEGACY51-0011-SUPPLIED_P_VALUE,N-LEGACY51-0011-P_ADJUSTED_HOLM,N-LEGACY51-0011-SUPPLIED_P_ADJUSTED_HOLM
service:B-ORTH,1185,318,-0.003471061221240357,0.8433521671156509,1119,394,-0.0091,0.4883,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0012-N_BEFORE,N-LEGACY51-0012-N_AFTER,N-LEGACY51-0012-DIFF,N-LEGACY51-0012-P_VALUE,N-LEGACY51-0012-SUPPLIED_N_BEFORE,N-LEGACY51-0012-SUPPLIED_N_AFTER,N-LEGACY51-0012-SUPPLIED_DIFF,N-LEGACY51-0012-SUPPLIED_P_VALUE,N-LEGACY51-0012-P_ADJUSTED_HOLM,N-LEGACY51-0012-SUPPLIED_P_ADJUSTED_HOLM
service:A-THOR,1464,402,0.02786273550281379,0.14425461531531825,1377,484,0.014,0.4002,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0013-N_BEFORE,N-LEGACY51-0013-N_AFTER,N-LEGACY51-0013-DIFF,N-LEGACY51-0013-P_VALUE,N-LEGACY51-0013-SUPPLIED_N_BEFORE,N-LEGACY51-0013-SUPPLIED_N_AFTER,N-LEGACY51-0013-SUPPLIED_DIFF,N-LEGACY51-0013-SUPPLIED_P_VALUE,N-LEGACY51-0013-P_ADJUSTED_HOLM,N-LEGACY51-0013-SUPPLIED_P_ADJUSTED_HOLM
service:B-OPHT,1126,329,-0.007018415241838397,0.7085026809467929,1074,393,-0.0144,0.3235,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0014-N_BEFORE,N-LEGACY51-0014-N_AFTER,N-LEGACY51-0014-DIFF,N-LEGACY51-0014-P_VALUE,N-LEGACY51-0014-SUPPLIED_N_BEFORE,N-LEGACY51-0014-SUPPLIED_N_AFTER,N-LEGACY51-0014-SUPPLIED_DIFF,N-LEGACY51-0014-SUPPLIED_P_VALUE,N-LEGACY51-0014-P_ADJUSTED_HOLM,N-LEGACY51-0014-SUPPLIED_P_ADJUSTED_HOLM
service:B-GEN,1149,301,-0.007942772712946994,0.720338549155442,1075,358,0.0038,0.8465,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0015-N_BEFORE,N-LEGACY51-0015-N_AFTER,N-LEGACY51-0015-DIFF,N-LEGACY51-0015-P_VALUE,N-LEGACY51-0015-SUPPLIED_N_BEFORE,N-LEGACY51-0015-SUPPLIED_N_AFTER,N-LEGACY51-0015-SUPPLIED_DIFF,N-LEGACY51-0015-SUPPLIED_P_VALUE,N-LEGACY51-0015-P_ADJUSTED_HOLM,N-LEGACY51-0015-SUPPLIED_P_ADJUSTED_HOLM
service:B-URO,1297,304,-0.03392951345209594,0.10880266758878754,1208,372,-0.0512,0.0014,False,False,False,False,unreproduced,unreproduced,1.0,0.063,N-LEGACY51-0016-N_BEFORE,N-LEGACY51-0016-N_AFTER,N-LEGACY51-0016-DIFF,N-LEGACY51-0016-P_VALUE,N-LEGACY51-0016-SUPPLIED_N_BEFORE,N-LEGACY51-0016-SUPPLIED_N_AFTER,N-LEGACY51-0016-SUPPLIED_DIFF,N-LEGACY51-0016-SUPPLIED_P_VALUE,N-LEGACY51-0016-P_ADJUSTED_HOLM,N-LEGACY51-0016-SUPPLIED_P_ADJUSTED_HOLM
service:B-ENT,1130,305,-0.003220658639199181,0.8957945158653979,1082,359,0.0007,0.974,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0017-N_BEFORE,N-LEGACY51-0017-N_AFTER,N-LEGACY51-0017-DIFF,N-LEGACY51-0017-P_VALUE,N-LEGACY51-0017-SUPPLIED_N_BEFORE,N-LEGACY51-0017-SUPPLIED_N_AFTER,N-LEGACY51-0017-SUPPLIED_DIFF,N-LEGACY51-0017-SUPPLIED_P_VALUE,N-LEGACY51-0017-P_ADJUSTED_HOLM,N-LEGACY51-0017-SUPPLIED_P_ADJUSTED_HOLM
service:B-NEURO,1224,336,-0.03904061624649861,0.05848493162116804,1156,376,-0.0414,0.012,False,False,False,False,unreproduced,unreproduced,1.0,0.444,N-LEGACY51-0018-N_BEFORE,N-LEGACY51-0018-N_AFTER,N-LEGACY51-0018-DIFF,N-LEGACY51-0018-P_VALUE,N-LEGACY51-0018-SUPPLIED_N_BEFORE,N-LEGACY51-0018-SUPPLIED_N_AFTER,N-LEGACY51-0018-SUPPLIED_DIFF,N-LEGACY51-0018-SUPPLIED_P_VALUE,N-LEGACY51-0018-P_ADJUSTED_HOLM,N-LEGACY51-0018-SUPPLIED_P_ADJUSTED_HOLM
service:B-GYN,1182,294,-0.03508408439517939,0.0933917926129354,1123,354,-0.0228,0.1972,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0019-N_BEFORE,N-LEGACY51-0019-N_AFTER,N-LEGACY51-0019-DIFF,N-LEGACY51-0019-P_VALUE,N-LEGACY51-0019-SUPPLIED_N_BEFORE,N-LEGACY51-0019-SUPPLIED_N_AFTER,N-LEGACY51-0019-SUPPLIED_DIFF,N-LEGACY51-0019-SUPPLIED_P_VALUE,N-LEGACY51-0019-P_ADJUSTED_HOLM,N-LEGACY51-0019-SUPPLIED_P_ADJUSTED_HOLM
service:B-CARD,1195,349,-0.031221301746772,0.1272893663308556,1126,404,0.0005,0.9787,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0020-N_BEFORE,N-LEGACY51-0020-N_AFTER,N-LEGACY51-0020-DIFF,N-LEGACY51-0020-P_VALUE,N-LEGACY51-0020-SUPPLIED_N_BEFORE,N-LEGACY51-0020-SUPPLIED_N_AFTER,N-LEGACY51-0020-SUPPLIED_DIFF,N-LEGACY51-0020-SUPPLIED_P_VALUE,N-LEGACY51-0020-P_ADJUSTED_HOLM,N-LEGACY51-0020-SUPPLIED_P_ADJUSTED_HOLM
service:A-URO,1420,375,-0.012948356807511732,0.5038226744097445,1337,454,-0.0066,0.703,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0021-N_BEFORE,N-LEGACY51-0021-N_AFTER,N-LEGACY51-0021-DIFF,N-LEGACY51-0021-P_VALUE,N-LEGACY51-0021-SUPPLIED_N_BEFORE,N-LEGACY51-0021-SUPPLIED_N_AFTER,N-LEGACY51-0021-SUPPLIED_DIFF,N-LEGACY51-0021-SUPPLIED_P_VALUE,N-LEGACY51-0021-P_ADJUSTED_HOLM,N-LEGACY51-0021-SUPPLIED_P_ADJUSTED_HOLM
service:A-GYN,1463,152,-0.02511961722488039,0.29946594236465995,1394,184,-0.0269,0.0647,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0022-N_BEFORE,N-LEGACY51-0022-N_AFTER,N-LEGACY51-0022-DIFF,N-LEGACY51-0022-P_VALUE,N-LEGACY51-0022-SUPPLIED_N_BEFORE,N-LEGACY51-0022-SUPPLIED_N_AFTER,N-LEGACY51-0022-SUPPLIED_DIFF,N-LEGACY51-0022-SUPPLIED_P_VALUE,N-LEGACY51-0022-P_ADJUSTED_HOLM,N-LEGACY51-0022-SUPPLIED_P_ADJUSTED_HOLM
service:A-ENT,1392,411,0.007613893783035508,0.6980542629796485,1312,480,0.0097,0.5819,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0023-N_BEFORE,N-LEGACY51-0023-N_AFTER,N-LEGACY51-0023-DIFF,N-LEGACY51-0023-P_VALUE,N-LEGACY51-0023-SUPPLIED_N_BEFORE,N-LEGACY51-0023-SUPPLIED_N_AFTER,N-LEGACY51-0023-SUPPLIED_DIFF,N-LEGACY51-0023-SUPPLIED_P_VALUE,N-LEGACY51-0023-P_ADJUSTED_HOLM,N-LEGACY51-0023-SUPPLIED_P_ADJUSTED_HOLM
service:B-PLAS,1179,319,0.005432051496805396,0.807524372140549,1125,354,0.0233,0.272,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0024-N_BEFORE,N-LEGACY51-0024-N_AFTER,N-LEGACY51-0024-DIFF,N-LEGACY51-0024-P_VALUE,N-LEGACY51-0024-SUPPLIED_N_BEFORE,N-LEGACY51-0024-SUPPLIED_N_AFTER,N-LEGACY51-0024-SUPPLIED_DIFF,N-LEGACY51-0024-SUPPLIED_P_VALUE,N-LEGACY51-0024-P_ADJUSTED_HOLM,N-LEGACY51-0024-SUPPLIED_P_ADJUSTED_HOLM
site:A,17475,4536,-0.009759406862411155,0.07370995299984208,16551,5559,-0.0117,0.0088,False,False,False,False,unreproduced,unreproduced,1.0,0.35200000000000004,N-LEGACY51-0025-N_BEFORE,N-LEGACY51-0025-N_AFTER,N-LEGACY51-0025-DIFF,N-LEGACY51-0025-P_VALUE,N-LEGACY51-0025-SUPPLIED_N_BEFORE,N-LEGACY51-0025-SUPPLIED_N_AFTER,N-LEGACY51-0025-SUPPLIED_DIFF,N-LEGACY51-0025-SUPPLIED_P_VALUE,N-LEGACY51-0025-P_ADJUSTED_HOLM,N-LEGACY51-0025-SUPPLIED_P_ADJUSTED_HOLM
site:A|sex:F,8723,2260,-0.008748208124386841,0.26184034521399957,8271,2776,-0.0088,0.1656,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0026-N_BEFORE,N-LEGACY51-0026-N_AFTER,N-LEGACY51-0026-DIFF,N-LEGACY51-0026-P_VALUE,N-LEGACY51-0026-SUPPLIED_N_BEFORE,N-LEGACY51-0026-SUPPLIED_N_AFTER,N-LEGACY51-0026-SUPPLIED_DIFF,N-LEGACY51-0026-SUPPLIED_P_VALUE,N-LEGACY51-0026-P_ADJUSTED_HOLM,N-LEGACY51-0026-SUPPLIED_P_ADJUSTED_HOLM
site:A|sex:M,8752,2276,-0.010755061158001941,0.15908639181762577,8280,2783,-0.0146,0.02,False,False,False,False,unreproduced,unreproduced,1.0,0.72,N-LEGACY51-0027-N_BEFORE,N-LEGACY51-0027-N_AFTER,N-LEGACY51-0027-DIFF,N-LEGACY51-0027-P_VALUE,N-LEGACY51-0027-SUPPLIED_N_BEFORE,N-LEGACY51-0027-SUPPLIED_N_AFTER,N-LEGACY51-0027-SUPPLIED_DIFF,N-LEGACY51-0027-SUPPLIED_P_VALUE,N-LEGACY51-0027-P_ADJUSTED_HOLM,N-LEGACY51-0027-SUPPLIED_P_ADJUSTED_HOLM
site:A|age<50,5344,1418,-0.004119933616546861,0.676928342379447,5053,1730,-0.0135,0.0955,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0028-N_BEFORE,N-LEGACY51-0028-N_AFTER,N-LEGACY51-0028-DIFF,N-LEGACY51-0028-P_VALUE,N-LEGACY51-0028-SUPPLIED_N_BEFORE,N-LEGACY51-0028-SUPPLIED_N_AFTER,N-LEGACY51-0028-SUPPLIED_DIFF,N-LEGACY51-0028-SUPPLIED_P_VALUE,N-LEGACY51-0028-P_ADJUSTED_HOLM,N-LEGACY51-0028-SUPPLIED_P_ADJUSTED_HOLM
site:A|age50-70,8525,2187,-0.007495531446148729,0.3395268280919153,7758,2601,-0.0063,0.3377,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0029-N_BEFORE,N-LEGACY51-0029-N_AFTER,N-LEGACY51-0029-DIFF,N-LEGACY51-0029-P_VALUE,N-LEGACY51-0029-SUPPLIED_N_BEFORE,N-LEGACY51-0029-SUPPLIED_N_AFTER,N-LEGACY51-0029-SUPPLIED_DIFF,N-LEGACY51-0029-SUPPLIED_P_VALUE,N-LEGACY51-0029-P_ADJUSTED_HOLM,N-LEGACY51-0029-SUPPLIED_P_ADJUSTED_HOLM
site:A|age>70,3606,931,-0.023755013871736633,0.044938581370305805,3740,1228,-0.0207,0.0237,False,False,False,False,unreproduced,unreproduced,1.0,0.8294999999999999,N-LEGACY51-0030-N_BEFORE,N-LEGACY51-0030-N_AFTER,N-LEGACY51-0030-DIFF,N-LEGACY51-0030-P_VALUE,N-LEGACY51-0030-SUPPLIED_N_BEFORE,N-LEGACY51-0030-SUPPLIED_N_AFTER,N-LEGACY51-0030-SUPPLIED_DIFF,N-LEGACY51-0030-SUPPLIED_P_VALUE,N-LEGACY51-0030-P_ADJUSTED_HOLM,N-LEGACY51-0030-SUPPLIED_P_ADJUSTED_HOLM
site:B,14259,3741,-0.024182309933207816,6.986481247322949e-05,13464,4426,-0.0202,0.0001,True,False,False,True,unreproduced,unreproduced,0.003563105436134704,0.0049,N-LEGACY51-0031-N_BEFORE,N-LEGACY51-0031-N_AFTER,N-LEGACY51-0031-DIFF,N-LEGACY51-0031-P_VALUE,N-LEGACY51-0031-SUPPLIED_N_BEFORE,N-LEGACY51-0031-SUPPLIED_N_AFTER,N-LEGACY51-0031-SUPPLIED_DIFF,N-LEGACY51-0031-SUPPLIED_P_VALUE,N-LEGACY51-0031-P_ADJUSTED_HOLM,N-LEGACY51-0031-SUPPLIED_P_ADJUSTED_HOLM
site:B|sex:F,7228,1882,-0.02308209836937121,0.007544747901682388,6797,2196,-0.0114,0.1225,False,False,False,False,unreproduced,unreproduced,0.3244241597723427,1.0,N-LEGACY51-0032-N_BEFORE,N-LEGACY51-0032-N_AFTER,N-LEGACY51-0032-DIFF,N-LEGACY51-0032-P_VALUE,N-LEGACY51-0032-SUPPLIED_N_BEFORE,N-LEGACY51-0032-SUPPLIED_N_AFTER,N-LEGACY51-0032-SUPPLIED_DIFF,N-LEGACY51-0032-SUPPLIED_P_VALUE,N-LEGACY51-0032-P_ADJUSTED_HOLM,N-LEGACY51-0032-SUPPLIED_P_ADJUSTED_HOLM
site:B|sex:M,7031,1859,-0.02526114083721602,0.00315695855411064,6667,2230,-0.0288,0.0,True,False,False,False,unreproduced,unreproduced,0.14196559612481963,0.0,N-LEGACY51-0033-N_BEFORE,N-LEGACY51-0033-N_AFTER,N-LEGACY51-0033-DIFF,N-LEGACY51-0033-P_VALUE,N-LEGACY51-0033-SUPPLIED_N_BEFORE,N-LEGACY51-0033-SUPPLIED_N_AFTER,N-LEGACY51-0033-SUPPLIED_DIFF,N-LEGACY51-0033-SUPPLIED_P_VALUE,N-LEGACY51-0033-P_ADJUSTED_HOLM,N-LEGACY51-0033-SUPPLIED_P_ADJUSTED_HOLM
site:B|age<50,4414,1148,-0.021851205145490507,0.04313822364379437,4162,1352,-0.0196,0.03,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0034-N_BEFORE,N-LEGACY51-0034-N_AFTER,N-LEGACY51-0034-DIFF,N-LEGACY51-0034-P_VALUE,N-LEGACY51-0034-SUPPLIED_N_BEFORE,N-LEGACY51-0034-SUPPLIED_N_AFTER,N-LEGACY51-0034-SUPPLIED_DIFF,N-LEGACY51-0034-SUPPLIED_P_VALUE,N-LEGACY51-0034-P_ADJUSTED_HOLM,N-LEGACY51-0034-SUPPLIED_P_ADJUSTED_HOLM
site:B|age50-70,6872,1821,-0.019541051591221034,0.027594037222212615,6234,2067,-0.0212,0.0045,False,False,False,False,unreproduced,unreproduced,1.0,0.18899999999999997,N-LEGACY51-0035-N_BEFORE,N-LEGACY51-0035-N_AFTER,N-LEGACY51-0035-DIFF,N-LEGACY51-0035-P_VALUE,N-LEGACY51-0035-SUPPLIED_N_BEFORE,N-LEGACY51-0035-SUPPLIED_N_AFTER,N-LEGACY51-0035-SUPPLIED_DIFF,N-LEGACY51-0035-SUPPLIED_P_VALUE,N-LEGACY51-0035-P_ADJUSTED_HOLM,N-LEGACY51-0035-SUPPLIED_P_ADJUSTED_HOLM
site:B|age>70,2973,772,-0.03877514208184542,0.0031547910249959915,3068,1007,-0.0189,0.0723,False,False,False,False,unreproduced,unreproduced,0.14196559612481963,1.0,N-LEGACY51-0036-N_BEFORE,N-LEGACY51-0036-N_AFTER,N-LEGACY51-0036-DIFF,N-LEGACY51-0036-P_VALUE,N-LEGACY51-0036-SUPPLIED_N_BEFORE,N-LEGACY51-0036-SUPPLIED_N_AFTER,N-LEGACY51-0036-SUPPLIED_DIFF,N-LEGACY51-0036-SUPPLIED_P_VALUE,N-LEGACY51-0036-P_ADJUSTED_HOLM,N-LEGACY51-0036-SUPPLIED_P_ADJUSTED_HOLM
ward:A-W1,4336,1138,0.0017396351467908466,0.8833498690640196,4115,1398,-0.0033,0.7462,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0037-N_BEFORE,N-LEGACY51-0037-N_AFTER,N-LEGACY51-0037-DIFF,N-LEGACY51-0037-P_VALUE,N-LEGACY51-0037-SUPPLIED_N_BEFORE,N-LEGACY51-0037-SUPPLIED_N_AFTER,N-LEGACY51-0037-SUPPLIED_DIFF,N-LEGACY51-0037-SUPPLIED_P_VALUE,N-LEGACY51-0037-P_ADJUSTED_HOLM,N-LEGACY51-0037-SUPPLIED_P_ADJUSTED_HOLM
ward:A-W2,2926,554,0.021283106025648285,0.14535206988981056,2771,668,0.0123,0.3185,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0038-N_BEFORE,N-LEGACY51-0038-N_AFTER,N-LEGACY51-0038-DIFF,N-LEGACY51-0038-P_VALUE,N-LEGACY51-0038-SUPPLIED_N_BEFORE,N-LEGACY51-0038-SUPPLIED_N_AFTER,N-LEGACY51-0038-SUPPLIED_DIFF,N-LEGACY51-0038-SUPPLIED_P_VALUE,N-LEGACY51-0038-P_ADJUSTED_HOLM,N-LEGACY51-0038-SUPPLIED_P_ADJUSTED_HOLM
ward:A-W3,8776,2674,-0.020898431773879816,0.00287095062520868,8294,3299,-0.02,0.0004,False,False,False,False,unreproduced,unreproduced,0.1320637287595993,0.0188,N-LEGACY51-0039-N_BEFORE,N-LEGACY51-0039-N_AFTER,N-LEGACY51-0039-DIFF,N-LEGACY51-0039-P_VALUE,N-LEGACY51-0039-SUPPLIED_N_BEFORE,N-LEGACY51-0039-SUPPLIED_N_AFTER,N-LEGACY51-0039-SUPPLIED_DIFF,N-LEGACY51-0039-SUPPLIED_P_VALUE,N-LEGACY51-0039-P_ADJUSTED_HOLM,N-LEGACY51-0039-SUPPLIED_P_ADJUSTED_HOLM
ward:A-W4,1436,170,-0.02875634933639193,0.26451451883222965,1371,194,-0.027,0.1972,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0040-N_BEFORE,N-LEGACY51-0040-N_AFTER,N-LEGACY51-0040-DIFF,N-LEGACY51-0040-P_VALUE,N-LEGACY51-0040-SUPPLIED_N_BEFORE,N-LEGACY51-0040-SUPPLIED_N_AFTER,N-LEGACY51-0040-SUPPLIED_DIFF,N-LEGACY51-0040-SUPPLIED_P_VALUE,N-LEGACY51-0040-P_ADJUSTED_HOLM,N-LEGACY51-0040-SUPPLIED_P_ADJUSTED_HOLM
ward:B-W1,3521,971,-0.022583053978614695,0.051300584159707834,3320,1152,-0.0149,0.125,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0041-N_BEFORE,N-LEGACY51-0041-N_AFTER,N-LEGACY51-0041-DIFF,N-LEGACY51-0041-P_VALUE,N-LEGACY51-0041-SUPPLIED_N_BEFORE,N-LEGACY51-0041-SUPPLIED_N_AFTER,N-LEGACY51-0041-SUPPLIED_DIFF,N-LEGACY51-0041-SUPPLIED_P_VALUE,N-LEGACY51-0041-P_ADJUSTED_HOLM,N-LEGACY51-0041-SUPPLIED_P_ADJUSTED_HOLM
ward:B-W2,3544,941,-0.02203181860707233,0.07106261282396407,3364,1101,-0.0156,0.123,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0042-N_BEFORE,N-LEGACY51-0042-N_AFTER,N-LEGACY51-0042-DIFF,N-LEGACY51-0042-P_VALUE,N-LEGACY51-0042-SUPPLIED_N_BEFORE,N-LEGACY51-0042-SUPPLIED_N_AFTER,N-LEGACY51-0042-SUPPLIED_DIFF,N-LEGACY51-0042-SUPPLIED_P_VALUE,N-LEGACY51-0042-P_ADJUSTED_HOLM,N-LEGACY51-0042-SUPPLIED_P_ADJUSTED_HOLM
