claim,specialty,effect,a_before,a_after,b_before,b_after,a_after_missing_fraction,b_after_missing_fraction,a_after_n,b_after_n,quantity_status,effect_number_id,a_before_number_id,a_after_number_id,b_before_number_id,b_after_number_id,a_after_missing_fraction_number_id,b_after_missing_fraction_number_id,a_after_n_number_id,b_after_n_number_id
c1,URO,0.03398479518902327,0.11219879518072289,0.11407167126192602,0.11203319502074689,0.07992127591292676,0.20434782608695656,0.17600000000000005,460,375,sensitivity_only,N-SERVICE-EFFECTS-0011-EFFECT,N-SERVICE-EFFECTS-0011-A_BEFORE,N-SERVICE-EFFECTS-0011-A_AFTER,N-SERVICE-EFFECTS-0011-B_BEFORE,N-SERVICE-EFFECTS-0011-B_AFTER,N-SERVICE-EFFECTS-0011-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0011-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0011-A_AFTER_N,N-SERVICE-EFFECTS-0011-B_AFTER_N
c1,VASC,0.021391427521495643,0.10160818713450293,0.08431987513620166,0.06796116504854369,0.02928142552874678,0.2142857142857143,0.1807909604519774,196,354,sensitivity_only,N-SERVICE-EFFECTS-0012-EFFECT,N-SERVICE-EFFECTS-0012-A_BEFORE,N-SERVICE-EFFECTS-0012-A_AFTER,N-SERVICE-EFFECTS-0012-B_BEFORE,N-SERVICE-EFFECTS-0012-B_AFTER,N-SERVICE-EFFECTS-0012-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0012-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0012-A_AFTER_N,N-SERVICE-EFFECTS-0012-B_AFTER_N
c2,CARD,-5.158129152551609,43.05167217579489,39.63638643920403,41.44120904161282,43.18405245757357,0.3174946004319654,0.3480392156862745,463,408,sensitivity_only,N-SERVICE-EFFECTS-0013-EFFECT,N-SERVICE-EFFECTS-0013-A_BEFORE,N-SERVICE-EFFECTS-0013-A_AFTER,N-SERVICE-EFFECTS-0013-B_BEFORE,N-SERVICE-EFFECTS-0013-B_AFTER,N-SERVICE-EFFECTS-0013-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0013-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0013-A_AFTER_N,N-SERVICE-EFFECTS-0013-B_AFTER_N
c2,ENT,-4.322627797142189,45.27559779870856,42.48300131929033,42.631171663148386,44.161202980872346,0.35390946502057613,0.3296398891966759,486,361,sensitivity_only,N-SERVICE-EFFECTS-0014-EFFECT,N-SERVICE-EFFECTS-0014-A_BEFORE,N-SERVICE-EFFECTS-0014-A_AFTER,N-SERVICE-EFFECTS-0014-B_BEFORE,N-SERVICE-EFFECTS-0014-B_AFTER,N-SERVICE-EFFECTS-0014-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0014-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0014-A_AFTER_N,N-SERVICE-EFFECTS-0014-B_AFTER_N
c2,GEN,-3.5962254575693393,37.25966788499015,33.857971618818254,44.4905630370193,44.68509222841674,0.2923076923076923,0.3674033149171271,195,362,sensitivity_only,N-SERVICE-EFFECTS-0015-EFFECT,N-SERVICE-EFFECTS-0015-A_BEFORE,N-SERVICE-EFFECTS-0015-A_AFTER,N-SERVICE-EFFECTS-0015-B_BEFORE,N-SERVICE-EFFECTS-0015-B_AFTER,N-SERVICE-EFFECTS-0015-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0015-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0015-A_AFTER_N,N-SERVICE-EFFECTS-0015-B_AFTER_N
c2,GYN,7.945145321507233,38.13524682211883,45.558364094414344,40.202573953554335,39.680545904342615,0.4530386740331492,0.34349030470914127,181,361,sensitivity_only,N-SERVICE-EFFECTS-0016-EFFECT,N-SERVICE-EFFECTS-0016-A_BEFORE,N-SERVICE-EFFECTS-0016-A_AFTER,N-SERVICE-EFFECTS-0016-B_BEFORE,N-SERVICE-EFFECTS-0016-B_AFTER,N-SERVICE-EFFECTS-0016-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0016-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0016-A_AFTER_N,N-SERVICE-EFFECTS-0016-B_AFTER_N
c2,NEURO,5.0102579175891435,40.34546206455627,41.39955685599131,41.87493593604471,37.9187728098906,0.3439635535307517,0.3324538258575198,439,379,sensitivity_only,N-SERVICE-EFFECTS-0017-EFFECT,N-SERVICE-EFFECTS-0017-A_BEFORE,N-SERVICE-EFFECTS-0017-A_AFTER,N-SERVICE-EFFECTS-0017-B_BEFORE,N-SERVICE-EFFECTS-0017-B_AFTER,N-SERVICE-EFFECTS-0017-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0017-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0017-A_AFTER_N,N-SERVICE-EFFECTS-0017-B_AFTER_N
c2,OPHT,3.248955075510672,40.2874953337069,40.591449485095936,43.45850335658966,40.51350243246802,0.346723044397463,0.3838383838383838,473,396,sensitivity_only,N-SERVICE-EFFECTS-0018-EFFECT,N-SERVICE-EFFECTS-0018-A_BEFORE,N-SERVICE-EFFECTS-0018-A_AFTER,N-SERVICE-EFFECTS-0018-B_BEFORE,N-SERVICE-EFFECTS-0018-B_AFTER,N-SERVICE-EFFECTS-0018-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0018-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0018-A_AFTER_N,N-SERVICE-EFFECTS-0018-B_AFTER_N
c2,ORTH,0.891910371303787,41.57058566676098,40.84416554964181,39.3242961282854,37.70596563986244,0.3228511530398323,0.3518987341772152,477,395,sensitivity_only,N-SERVICE-EFFECTS-0019-EFFECT,N-SERVICE-EFFECTS-0019-A_BEFORE,N-SERVICE-EFFECTS-0019-A_AFTER,N-SERVICE-EFFECTS-0019-B_BEFORE,N-SERVICE-EFFECTS-0019-B_AFTER,N-SERVICE-EFFECTS-0019-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0019-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0019-A_AFTER_N,N-SERVICE-EFFECTS-0019-B_AFTER_N
c2,PAED,5.100518004203785,39.179516567460404,41.638080934257744,42.3204541292978,39.678500491891356,0.4096858638743455,0.3753501400560224,1528,357,sensitivity_only,N-SERVICE-EFFECTS-0020-EFFECT,N-SERVICE-EFFECTS-0020-A_BEFORE,N-SERVICE-EFFECTS-0020-A_AFTER,N-SERVICE-EFFECTS-0020-B_BEFORE,N-SERVICE-EFFECTS-0020-B_AFTER,N-SERVICE-EFFECTS-0020-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0020-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0020-A_AFTER_N,N-SERVICE-EFFECTS-0020-B_AFTER_N
c2,PLAS,15.519064644080345,42.612970773177786,58.821445758052704,40.88553763640884,41.574947977203415,0.595,0.2988826815642458,200,358,sensitivity_only,N-SERVICE-EFFECTS-0021-EFFECT,N-SERVICE-EFFECTS-0021-A_BEFORE,N-SERVICE-EFFECTS-0021-A_AFTER,N-SERVICE-EFFECTS-0021-B_BEFORE,N-SERVICE-EFFECTS-0021-B_AFTER,N-SERVICE-EFFECTS-0021-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0021-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0021-A_AFTER_N,N-SERVICE-EFFECTS-0021-B_AFTER_N
c2,THOR,1.5432309929729868,39.5778083531843,41.86333143895017,41.47561419476054,42.21790628755342,0.35135135135135137,0.38375350140056025,481,357,sensitivity_only,N-SERVICE-EFFECTS-0022-EFFECT,N-SERVICE-EFFECTS-0022-A_BEFORE,N-SERVICE-EFFECTS-0022-A_AFTER,N-SERVICE-EFFECTS-0022-B_BEFORE,N-SERVICE-EFFECTS-0022-B_AFTER,N-SERVICE-EFFECTS-0022-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0022-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0022-A_AFTER_N,N-SERVICE-EFFECTS-0022-B_AFTER_N
c2,URO,7.2375584667459805,40.93848376143424,43.773296006162475,45.56439924312292,41.161653021105174,0.36086956521739133,0.37866666666666665,460,375,sensitivity_only,N-SERVICE-EFFECTS-0023-EFFECT,N-SERVICE-EFFECTS-0023-A_BEFORE,N-SERVICE-EFFECTS-0023-A_AFTER,N-SERVICE-EFFECTS-0023-B_BEFORE,N-SERVICE-EFFECTS-0023-B_AFTER,N-SERVICE-EFFECTS-0023-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0023-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0023-A_AFTER_N,N-SERVICE-EFFECTS-0023-B_AFTER_N
c2,VASC,22.071752564254346,42.61607720956474,60.51434421867647,39.767758480844364,35.594272925701745,0.5969387755102041,0.3474576271186441,196,354,sensitivity_only,N-SERVICE-EFFECTS-0024-EFFECT,N-SERVICE-EFFECTS-0024-A_BEFORE,N-SERVICE-EFFECTS-0024-A_AFTER,N-SERVICE-EFFECTS-0024-B_BEFORE,N-SERVICE-EFFECTS-0024-B_AFTER,N-SERVICE-EFFECTS-0024-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0024-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0024-A_AFTER_N,N-SERVICE-EFFECTS-0024-B_AFTER_N
