case_id,score_batch,score_live,feature_visit_null,threshold_used,scored_ts
C000000067,0.3238,0.3238,False,0.62,2026-07-27
C000000068,0.3811,0.3811,False,0.62,2026-05-26
C000000069,0.2588,0.2588,False,0.62,2025-12-23
C000000070,0.0349,0.0349,False,0.62,2025-11-12
C000000071,0.2803,0.2803,False,0.62,2026-03-19
C000000072,0.0821,0.0821,False,0.62,2026-04-15
C000000073,0.5155,0.5155,False,0.62,2026-01-27
C000000074,0.3112,0.3112,False,0.62,2026-06-03
C000000075,0.4674,0.4674,False,0.62,2025-08-22
C000000076,0.4201,0.4734,True,0.62,2025-08-19
C000000077,0.3162,0.3162,False,0.62,2026-05-28
C000000078,0.1137,0.1137,False,0.62,2026-02-03
C000000079,0.4544,0.4544,False,0.62,2026-07-14
C000000080,0.3529,0.3529,False,0.62,2026-04-09
C000000081,0.4355,0.4355,False,0.62,2026-03-01
C000000082,0.291,0.291,False,0.62,2025-09-25
C000000083,0.7307,0.7307,False,0.62,2026-04-19
C000000084,0.7073,0.7073,False,0.62,2026-07-05
C000000085,0.11,0.133,True,0.62,2025-10-07
C000000086,0.4514,0.4514,False,0.62,2025-11-24
C000000087,0.2776,0.2776,False,0.62,2026-03-11
C000000088,0.3329,0.3329,False,0.62,2026-01-07
C000000089,0.357,0.357,False,0.62,2025-11-28
C000000090,0.4757,0.4757,False,0.62,2025-09-18
C000000091,0.3376,0.3376,False,0.62,2026-07-18
C000000092,0.1308,0.1308,False,0.62,2025-10-28
C000000093,0.0448,0.0448,False,0.62,2025-09-07
C000000094,0.3134,0.3134,False,0.62,2025-10-18
C000000095,0.2916,0.2916,False,0.62,2025-12-09
C000000096,0.0764,0.0764,False,0.62,2025-09-20
C000000097,0.4599,0.4599,False,0.62,2025-12-21
C000000098,0.4556,0.5095,True,0.62,2025-12-31
C000000099,0.4688,0.4688,False,0.62,2025-12-23
C000000100,0.2677,0.2677,False,0.62,2025-12-19
C000000101,0.4854,0.4854,False,0.62,2026-02-08
C000000102,0.4255,0.4255,False,0.62,2025-11-05
C000000103,0.5201,0.5201,False,0.62,2026-03-20
C000000104,0.0592,0.0592,False,0.62,2025-11-15
C000000105,0.1704,0.1704,False,0.62,2025-11-10
C000000106,0.28,0.28,False,0.62,2026-01-04
C000000107,0.4791,0.533,True,0.62,2025-10-07
C000000108,0.3738,0.4255,True,0.62,2025-11-10
C000000109,0.3155,0.3155,False,0.62,2025-12-25
C000000110,0.3848,0.3848,False,0.62,2025-11-28
C000000111,0.3542,0.3542,False,0.62,2025-12-12
C000000112,0.2944,0.2944,False,0.62,2026-03-08
C000000113,0.3596,0.3596,False,0.62,2026-07-25
C000000114,0.5714,0.5714,False,0.62,2026-07-07
C000000115,0.1638,0.1638,False,0.62,2026-02-17
C000000116,0.2314,0.272,True,0.62,2025-11-21
C000000117,0.3416,0.3416,False,0.62,2026-01-08
C000000118,0.1081,0.1081,False,0.62,2026-06-11
C000000119,0.5317,0.5317,False,0.62,2026-07-02
C000000120,0.4536,0.4536,False,0.62,2026-06-22
C000000121,0.5602,0.5602,False,0.62,2025-09-01
C000000122,0.3994,0.3994,False,0.62,2026-04-12
C000000123,0.4427,0.4427,False,0.62,2026-02-09
C000000124,0.5085,0.5622,True,0.62,2026-05-16
C000000125,0.4719,0.4719,False,0.62,2026-04-24
C000000126,0.2443,0.2443,False,0.62,2026-06-18
C000000127,0.3747,0.3747,False,0.62,2025-08-17
C000000128,0.5614,0.6137,True,0.62,2026-06-29
C000000129,0.4609,0.5148,True,0.62,2025-10-02
C000000130,0.5852,0.5852,False,0.62,2026-05-09
C000000131,0.1118,0.1118,False,0.62,2025-09-26
C000000132,0.2911,0.2911,False,0.62,2026-04-23
C000000133,0.435,0.435,False,0.62,2026-06-21
C000000134,0.4543,0.4543,False,0.62,2026-07-13
C000000135,0.4889,0.4889,False,0.62,2026-05-14
C000000136,0.6058,0.6058,False,0.62,2026-06-29
C000000137,0.3378,0.3378,False,0.62,2026-03-22
C000000138,0.5019,0.5019,False,0.62,2026-04-04
C000000139,0.4022,0.4022,False,0.62,2026-03-23
C000000140,0.5547,0.5547,False,0.62,2025-11-20
C000000141,0.3905,0.4429,True,0.62,2026-03-02
C000000142,0.5678,0.5678,False,0.62,2025-10-26
C000000143,0.3149,0.3632,True,0.62,2026-05-29
C000000144,0.2853,0.2853,False,0.62,2026-04-22
C000000145,0.4505,0.4505,False,0.62,2025-09-01
C000000146,0.4067,0.4067,False,0.62,2025-10-10
C000000147,0.3594,0.3594,False,0.62,2026-06-01
C000000148,0.3541,0.3541,False,0.62,2026-01-24
C000000149,0.4531,0.4531,False,0.62,2025-09-21
C000000150,0.317,0.317,False,0.62,2026-01-31
C000000151,0.5386,0.5916,True,0.62,2026-06-02
C000000152,0.5314,0.5314,False,0.62,2025-08-27
C000000153,0.325,0.325,False,0.62,2025-08-25
C000000154,0.25,0.25,False,0.62,2026-03-13
C000000155,0.1207,0.1207,False,0.62,2026-02-27
C000000156,0.3798,0.3798,False,0.62,2026-02-17
C000000157,0.5029,0.5029,False,0.62,2026-02-18
C000000158,0.2815,0.2815,False,0.62,2025-12-07
C000000159,0.3912,0.3912,False,0.62,2025-11-18
C000000160,0.2751,0.2751,False,0.62,2025-10-25
C000000161,0.3341,0.3837,True,0.62,2025-11-02
C000000162,0.3226,0.3226,False,0.62,2026-05-23
C000000163,0.2392,0.2392,False,0.62,2025-10-19
C000000164,0.6166,0.6662,True,0.62,2025-09-23
C000000165,0.3648,0.3648,False,0.62,2026-01-20
C000000166,0.4194,0.4194,False,0.62,2025-12-20
C000000167,0.3056,0.3532,True,0.62,2026-04-25
C000000168,0.535,0.5881,True,0.62,2026-05-01
C000000169,0.424,0.424,False,0.62,2025-09-07
C000000170,0.3817,0.3817,False,0.62,2025-08-28
C000000171,0.3551,0.4059,True,0.62,2026-05-06
C000000172,0.6378,0.6378,False,0.62,2025-09-26
C000000173,0.4946,0.4946,False,0.62,2026-07-31
C000000174,0.58,0.58,False,0.62,2026-03-07
C000000175,0.4394,0.4394,False,0.62,2025-10-10
C000000176,0.3643,0.3643,False,0.62,2026-02-02
C000000177,0.6239,0.6239,False,0.62,2026-02-21
C000000178,0.3943,0.4469,True,0.62,2026-04-19
C000000179,0.3161,0.3161,False,0.62,2026-05-08
C000000180,0.4636,0.4636,False,0.62,2025-10-15
C000000181,0.3499,0.3499,False,0.62,2026-07-13
C000000182,0.0934,0.0934,False,0.62,2026-06-04
C000000183,0.1225,0.1225,False,0.62,2025-10-10
C000000184,0.3561,0.407,True,0.62,2026-07-28
C000000185,0.6398,0.6398,False,0.62,2026-06-06
C000000186,0.2789,0.2789,False,0.62,2026-01-11
C000000187,0.2902,0.2902,False,0.62,2025-08-04
C000000188,0.4116,0.4116,False,0.62,2026-02-21
C000000189,0.4389,0.4389,False,0.62,2025-09-28
C000000190,0.4739,0.4739,False,0.62,2025-10-18
C000000191,0.4828,0.4828,False,0.62,2025-10-06
C000000192,0.5171,0.5171,False,0.62,2026-06-16
C000000193,0.5724,0.5724,False,0.62,2025-08-25
C000000194,0.6207,0.6207,False,0.62,2025-11-17
C000000195,0.3858,0.3858,False,0.62,2026-06-30
C000000196,0.0671,0.0671,False,0.62,2026-04-11
C000000197,0.2499,0.2925,True,0.62,2026-02-06
C000000198,0.6415,0.6415,False,0.62,2026-05-12
C000000199,0.3459,0.3459,False,0.62,2026-06-24
C000000200,0.2961,0.2961,False,0.62,2025-10-24
C000000201,0.3537,0.3537,False,0.62,2025-09-02
C000000202,0.513,0.513,False,0.62,2025-08-30
C000000203,0.5081,0.5081,False,0.62,2025-08-16
C000000204,0.4208,0.4208,False,0.62,2026-07-09
C000000205,0.436,0.436,False,0.62,2025-11-15
C000000206,0.3796,0.3796,False,0.62,2026-05-27
C000000207,0.2503,0.2503,False,0.62,2026-06-10
C000000208,0.1389,0.1389,False,0.62,2026-02-20
C000000209,0.2507,0.2507,False,0.62,2026-04-02
C000000210,0.1329,0.1329,False,0.62,2026-04-20
C000000211,0.1119,0.1119,False,0.62,2025-11-05
C000000212,0.4701,0.524,True,0.62,2026-05-24
C000000213,0.3893,0.4417,True,0.62,2026-05-27
C000000214,0.3937,0.3937,False,0.62,2025-08-21
C000000215,0.5174,0.5174,False,0.62,2025-08-13
C000000216,0.0528,0.0528,False,0.62,2026-03-01
C000000217,0.5848,0.6361,True,0.62,2026-07-26
C000000218,0.5381,0.5381,False,0.62,2026-04-06
C000000219,0.4695,0.5234,True,0.62,2026-01-23
C000000220,0.2272,0.2272,False,0.62,2026-01-24
C000000221,0.5575,0.5575,False,0.62,2025-11-22
C000000222,0.1691,0.1691,False,0.62,2025-12-10
C000000223,0.4017,0.4017,False,0.62,2025-11-02
C000000224,0.4145,0.4145,False,0.62,2026-06-30
C000000225,0.5321,0.5321,False,0.62,2025-10-21
C000000226,0.324,0.373,True,0.62,2025-09-12
C000000227,0.3862,0.3862,False,0.62,2026-04-28
C000000228,0.5253,0.5253,False,0.62,2026-07-01
C000000229,0.4699,0.4699,False,0.62,2026-03-17
C000000230,0.4919,0.4919,False,0.62,2025-08-16
C000000231,0.4303,0.4303,False,0.62,2026-01-24
C000000232,0.6567,0.6567,False,0.62,2026-07-25
C000000233,0.5384,0.5384,False,0.62,2026-03-20
C000000234,0.289,0.289,False,0.62,2025-12-18
C000000235,0.5678,0.5678,False,0.62,2025-09-06
C000000236,0.483,0.483,False,0.62,2026-02-13
C000000237,0.1234,0.1487,True,0.62,2025-09-12
C000000238,0.408,0.461,True,0.62,2025-10-29
C000000239,0.4017,0.4017,False,0.62,2026-02-08
C000000240,0.0712,0.0712,False,0.62,2026-05-09
C000000241,0.5954,0.5954,False,0.62,2026-01-28
C000000242,0.0717,0.0875,True,0.62,2026-04-21
C000000243,0.3438,0.394,True,0.62,2025-10-08
C000000244,0.2972,0.2972,False,0.62,2025-12-11
C000000245,0.4569,0.4569,False,0.62,2026-01-20
C000000246,0.3762,0.3762,False,0.62,2026-03-03
C000000247,0.5246,0.5779,True,0.62,2026-05-19
C000000248,0.3035,0.3035,False,0.62,2026-03-02
C000000249,0.2916,0.2916,False,0.62,2026-01-22
C000000250,0.3046,0.3046,False,0.62,2025-08-27
C000000251,0.326,0.3751,True,0.62,2025-10-26
C000000252,0.589,0.589,False,0.62,2026-04-05
C000000253,0.2699,0.2699,False,0.62,2026-06-07
C000000254,0.338,0.338,False,0.62,2026-07-19
C000000255,0.3434,0.3434,False,0.62,2026-05-04
C000000256,0.5291,0.5291,False,0.62,2026-05-06
C000000257,0.4674,0.5213,True,0.62,2025-08-04
C000000258,0.5012,0.5012,False,0.62,2025-08-20
C000000259,0.2756,0.2756,False,0.62,2025-09-25
C000000260,0.3216,0.3216,False,0.62,2026-01-08
C000000261,0.4258,0.4258,False,0.62,2025-08-14
C000000262,0.4226,0.4226,False,0.62,2025-11-30
C000000263,0.1752,0.1752,False,0.62,2025-12-01
C000000264,0.4371,0.4371,False,0.62,2026-06-22
C000000265,0.4014,0.4014,False,0.62,2026-04-05
C000000266,0.3749,0.3749,False,0.62,2026-02-07
C000000267,0.4355,0.4355,False,0.62,2026-02-18
C000000268,0.5656,0.5656,False,0.62,2025-11-12
C000000269,0.5193,0.5193,False,0.62,2025-09-01
C000000270,0.3482,0.3987,True,0.62,2025-09-07
C000000271,0.283,0.283,False,0.62,2025-12-14
C000000272,0.5385,0.5385,False,0.62,2026-01-17
C000000273,0.3473,0.3473,False,0.62,2026-02-15
C000000274,0.3118,0.3118,False,0.62,2026-07-20
C000000275,0.3831,0.3831,False,0.62,2026-02-13
C000000276,0.2449,0.2449,False,0.62,2026-01-02
C000000277,0.5749,0.5749,False,0.62,2025-08-02
C000000278,0.5715,0.5715,False,0.62,2025-09-28
C000000279,0.3616,0.4128,True,0.62,2026-05-20
C000000280,0.5917,0.5917,False,0.62,2026-06-30
C000000281,0.5263,0.5263,False,0.62,2025-10-01
C000000282,0.4866,0.4866,False,0.62,2025-10-21
C000000283,0.5667,0.5667,False,0.62,2025-12-15
C000000284,0.3179,0.3179,False,0.62,2025-09-26
C000000285,0.4343,0.4343,False,0.62,2026-06-10
C000000286,0.0951,0.0951,False,0.62,2025-11-26
C000000287,0.665,0.665,False,0.62,2025-09-01
C000000288,0.3062,0.3062,False,0.62,2026-01-03
C000000289,0.0956,0.0956,False,0.62,2026-05-29
C000000290,0.4205,0.4205,False,0.62,2026-02-11
C000000291,0.2527,0.2956,True,0.62,2025-08-21
C000000292,0.4132,0.4663,True,0.62,2025-12-13
C000000293,0.3044,0.3044,False,0.62,2026-01-04
C000000294,0.5613,0.5613,False,0.62,2025-09-24
C000000295,0.5613,0.5613,False,0.62,2025-08-25
C000000296,0.3327,0.3327,False,0.62,2026-06-25
C000000297,0.2904,0.2904,False,0.62,2026-07-16
C000000298,0.3436,0.3436,False,0.62,2025-12-04
C000000299,0.3493,0.3493,False,0.62,2026-01-22
C000000300,0.2645,0.2645,False,0.62,2026-01-18
C000000301,0.3211,0.3211,False,0.62,2026-02-10
C000000302,0.2963,0.2963,False,0.62,2026-05-28
C000000303,0.3275,0.3275,False,0.62,2025-08-29
C000000304,0.4706,0.4706,False,0.62,2025-11-20
C000000305,0.3064,0.3541,True,0.62,2026-01-28
C000000306,0.0669,0.0669,False,0.62,2025-12-31
C000000307,0.1942,0.1942,False,0.62,2026-05-23
C000000308,0.4004,0.4004,False,0.62,2025-08-29
C000000309,0.0505,0.0505,False,0.62,2026-07-04
C000000310,0.4624,0.4624,False,0.62,2025-12-26
C000000311,0.4145,0.4145,False,0.62,2026-07-03
C000000312,0.2924,0.2924,False,0.62,2026-07-18
C000000313,0.3829,0.3829,False,0.62,2026-01-25
C000000314,0.3037,0.3037,False,0.62,2025-11-24
C000000315,0.4061,0.4061,False,0.62,2025-08-07
C000000316,0.3649,0.3649,False,0.62,2025-08-28
C000000317,0.5893,0.5893,False,0.62,2025-10-22
C000000318,0.4202,0.4202,False,0.62,2025-08-16
C000000319,0.3261,0.3261,False,0.62,2025-08-08
C000000320,0.4785,0.4785,False,0.62,2026-04-13
C000000321,0.3313,0.3313,False,0.62,2026-07-04
C000000322,0.211,0.211,False,0.62,2025-08-18
C000000323,0.5323,0.5323,False,0.62,2025-08-11
C000000324,0.4203,0.4203,False,0.62,2026-06-11
C000000325,0.4418,0.4418,False,0.62,2025-10-20
C000000326,0.3929,0.3929,False,0.62,2026-05-28
C000000327,0.229,0.229,False,0.62,2025-09-16
C000000328,0.3565,0.3565,False,0.62,2026-01-27
C000000329,0.3908,0.3908,False,0.62,2025-08-14
C000000330,0.3063,0.354,True,0.62,2025-11-24
C000000331,0.0834,0.0834,False,0.62,2025-12-30
C000000332,0.4625,0.4625,False,0.62,2026-04-15
C000000333,0.4597,0.4597,False,0.62,2025-12-11
C000000334,0.4056,0.4056,False,0.62,2026-04-18
C000000335,0.3218,0.3706,True,0.62,2025-12-05
C000000336,0.398,0.4507,True,0.62,2025-12-15
C000000337,0.5735,0.5735,False,0.62,2025-09-29
C000000338,0.4413,0.4413,False,0.62,2026-03-03
C000000339,0.5316,0.5316,False,0.62,2026-03-07
C000000340,0.5414,0.5414,False,0.62,2025-10-02
C000000341,0.3806,0.3806,False,0.62,2025-11-02
C000000342,0.3966,0.3966,False,0.62,2026-05-23
C000000343,0.2741,0.2741,False,0.62,2025-09-18
C000000344,0.4752,0.4752,False,0.62,2025-09-01
C000000345,0.3917,0.3917,False,0.62,2026-05-27
C000000346,0.5003,0.5003,False,0.62,2026-04-19
C000000347,0.2402,0.2402,False,0.62,2025-08-02
C000000348,0.3991,0.3991,False,0.62,2025-11-09
C000000349,0.5595,0.6118,True,0.62,2026-07-13
C000000350,0.215,0.215,False,0.62,2025-10-03
C000000351,0.4462,0.4462,False,0.62,2026-07-03
C000000352,0.4951,0.4951,False,0.62,2026-02-02
C000000353,0.637,0.637,False,0.62,2025-11-23
C000000354,0.4749,0.4749,False,0.62,2026-03-27
C000000355,0.0832,0.0832,False,0.62,2025-11-24
C000000356,0.4757,0.4757,False,0.62,2025-11-07
C000000357,0.4835,0.4835,False,0.62,2026-04-02
C000000358,0.3607,0.3607,False,0.62,2026-05-27
C000000359,0.0845,0.0845,False,0.62,2025-08-23
C000000360,0.612,0.612,False,0.62,2026-07-05
C000000361,0.2494,0.2494,False,0.62,2026-04-12
C000000362,0.1076,0.1076,False,0.62,2026-05-05
C000000363,0.38,0.38,False,0.62,2025-10-31
C000000364,0.5083,0.5083,False,0.62,2026-02-05
C000000365,0.4968,0.4968,False,0.62,2026-03-03
C000000366,0.4922,0.4922,False,0.62,2025-10-05
C000000367,0.3111,0.3111,False,0.62,2026-02-07
C000000368,0.5024,0.5024,False,0.62,2026-07-18
C000000369,0.5404,0.5404,False,0.62,2025-09-14
C000000370,0.2909,0.2909,False,0.62,2026-01-10
C000000371,0.4096,0.4096,False,0.62,2025-12-16
C000000372,0.5017,0.5017,False,0.62,2025-10-29
C000000373,0.2505,0.2505,False,0.62,2026-01-23
C000000374,0.2122,0.2122,False,0.62,2025-09-08
C000000375,0.4248,0.4782,True,0.62,2025-10-09
C000000376,0.3987,0.3987,False,0.62,2026-04-05
C000000377,0.4447,0.4447,False,0.62,2025-09-21
C000000378,0.2847,0.2847,False,0.62,2025-11-11
C000000379,0.4089,0.4089,False,0.62,2025-08-17
C000000380,0.494,0.494,False,0.62,2025-12-27
C000000381,0.3386,0.3386,False,0.62,2025-08-27
C000000382,0.2654,0.2654,False,0.62,2026-02-20
C000000383,0.4005,0.4005,False,0.62,2026-06-19
C000000384,0.6358,0.6358,False,0.62,2025-10-15
C000000385,0.393,0.393,False,0.62,2026-04-10
C000000386,0.4924,0.4924,False,0.62,2025-10-27
C000000387,0.4929,0.4929,False,0.62,2025-10-01
C000000388,0.4135,0.4135,False,0.62,2025-11-12
C000000389,0.6552,0.6552,False,0.62,2026-07-10
C000000390,0.4605,0.5144,True,0.62,2026-01-24
C000000391,0.5049,0.5049,False,0.62,2026-01-27
C000000392,0.0534,0.0534,False,0.62,2025-10-12
C000000393,0.3789,0.3789,False,0.62,2025-12-01
C000000394,0.2799,0.3254,True,0.62,2025-08-12
C000000395,0.5158,0.5694,True,0.62,2026-02-16
C000000396,0.4021,0.4021,False,0.62,2026-04-28
C000000397,0.2654,0.2654,False,0.62,2026-04-05
C000000398,0.4211,0.4211,False,0.62,2025-09-27
C000000399,0.2989,0.2989,False,0.62,2026-05-22
C000000400,0.3203,0.3203,False,0.62,2025-10-06
C000000401,0.5371,0.5371,False,0.62,2026-01-23
C000000402,0.6246,0.6246,False,0.62,2026-05-27
C000000403,0.4465,0.4465,False,0.62,2025-12-25
C000000404,0.4178,0.4178,False,0.62,2025-09-06
C000000405,0.4126,0.4126,False,0.62,2026-03-10
C000000406,0.4975,0.4975,False,0.62,2025-08-12
C000000407,0.0612,0.0612,False,0.62,2026-02-11
C000000408,0.0599,0.0599,False,0.62,2026-04-18
C000000409,0.2625,0.2625,False,0.62,2026-07-23
C000000410,0.4988,0.5526,True,0.62,2025-08-10
C000000411,0.5765,0.5765,False,0.62,2025-11-18
C000000412,0.3527,0.3527,False,0.62,2026-01-05
C000000413,0.242,0.242,False,0.62,2026-01-31
C000000414,0.527,0.527,False,0.62,2025-11-07
C000000415,0.5015,0.5015,False,0.62,2026-06-10
C000000416,0.3928,0.3928,False,0.62,2026-02-04
C000000417,0.5067,0.5067,False,0.62,2026-04-30
C000000418,0.2013,0.2013,False,0.62,2025-11-09
C000000419,0.3741,0.4258,True,0.62,2025-09-27
C000000420,0.5176,0.5176,False,0.62,2026-03-23
C000000421,0.4925,0.4925,False,0.62,2026-02-14
C000000422,0.4236,0.4236,False,0.62,2026-04-16
C000000423,0.439,0.439,False,0.62,2025-11-16
C000000424,0.2325,0.2325,False,0.62,2026-03-06
C000000425,0.6329,0.6329,False,0.62,2026-07-15
C000000426,0.4875,0.4875,False,0.62,2025-12-03
C000000427,0.5029,0.5029,False,0.62,2026-03-03
C000000428,0.4826,0.5365,True,0.62,2026-06-10
C000000429,0.5594,0.5594,False,0.62,2026-05-26
C000000430,0.3493,0.3493,False,0.62,2025-10-19
C000000431,0.2317,0.2317,False,0.62,2026-07-01
C000000432,0.5746,0.5746,False,0.62,2025-12-20
C000000433,0.377,0.377,False,0.62,2026-04-27
C000000434,0.4974,0.5512,True,0.62,2026-03-22
C000000435,0.3751,0.3751,False,0.62,2025-08-25
C000000436,0.3538,0.3538,False,0.62,2026-03-12
C000000437,0.1687,0.1687,False,0.62,2025-11-15
C000000438,0.2465,0.2465,False,0.62,2025-10-02
C000000439,0.4949,0.5487,True,0.62,2026-02-13
C000000440,0.2089,0.2089,False,0.62,2026-01-20
C000000441,0.2263,0.2263,False,0.62,2026-05-29
C000000442,0.1241,0.1241,False,0.62,2026-03-18
C000000443,0.2828,0.2828,False,0.62,2026-01-27
C000000444,0.3733,0.3733,False,0.62,2025-08-15
C000000445,0.4491,0.5029,True,0.62,2025-11-27
C000000446,0.446,0.446,False,0.62,2025-11-13
C000000447,0.4624,0.4624,False,0.62,2026-04-20
C000000448,0.3451,0.3954,True,0.62,2026-05-20
C000000449,0.4231,0.4231,False,0.62,2025-10-15
C000000450,0.2046,0.2046,False,0.62,2026-03-22
C000000451,0.467,0.467,False,0.62,2025-12-31
C000000452,0.0689,0.0689,False,0.62,2026-05-05
C000000453,0.4496,0.5034,True,0.62,2025-09-26
C000000454,0.1189,0.1434,True,0.62,2026-02-14
C000000455,0.4506,0.4506,False,0.62,2026-02-22
C000000456,0.4655,0.4655,False,0.62,2026-04-08
C000000457,0.4251,0.4251,False,0.62,2025-11-04
C000000458,0.6804,0.6804,False,0.62,2026-05-15
C000000459,0.3599,0.3599,False,0.62,2026-04-06
C000000460,0.4013,0.4013,False,0.62,2025-08-04
C000000461,0.525,0.525,False,0.62,2025-08-25
C000000462,0.2758,0.2758,False,0.62,2026-02-01
C000000463,0.366,0.366,False,0.62,2026-01-27
C000000464,0.5369,0.5369,False,0.62,2025-09-12
C000000465,0.3962,0.3962,False,0.62,2026-06-26
C000000466,0.3284,0.3284,False,0.62,2026-05-21
C000000467,0.3688,0.4204,True,0.62,2026-01-25
C000000468,0.3564,0.3564,False,0.62,2025-11-24
C000000469,0.5899,0.5899,False,0.62,2026-05-12
C000000470,0.4674,0.4674,False,0.62,2026-04-08
C000000471,0.4557,0.5096,True,0.62,2026-02-27
C000000472,0.4664,0.4664,False,0.62,2025-10-23
C000000473,0.3963,0.4489,True,0.62,2026-05-30
C000000474,0.2728,0.2728,False,0.62,2026-07-13
C000000475,0.3729,0.4246,True,0.62,2025-10-18
C000000476,0.4189,0.4721,True,0.62,2026-05-01
C000000477,0.5031,0.5031,False,0.62,2026-07-17
C000000478,0.3634,0.3634,False,0.62,2026-05-15
C000000479,0.2811,0.2811,False,0.62,2025-12-22
C000000480,0.0682,0.0682,False,0.62,2026-06-29
C000000481,0.3683,0.3683,False,0.62,2026-05-16
C000000482,0.4134,0.4134,False,0.62,2026-02-27
C000000483,0.4751,0.4751,False,0.62,2026-05-05
C000000484,0.481,0.481,False,0.62,2025-11-08
C000000485,0.5381,0.5381,False,0.62,2026-06-06
C000000486,0.3406,0.3406,False,0.62,2026-06-18
C000000487,0.356,0.356,False,0.62,2026-04-15
C000000488,0.2838,0.2838,False,0.62,2026-03-07
C000000489,0.1316,0.1316,False,0.62,2025-12-12
C000000490,0.0749,0.0749,False,0.62,2026-06-29
C000000491,0.6068,0.6068,False,0.62,2026-03-07
C000000492,0.4574,0.4574,False,0.62,2026-03-09
C000000493,0.4825,0.4825,False,0.62,2026-04-20
C000000494,0.4107,0.4638,True,0.62,2025-11-20
C000000495,0.5695,0.5695,False,0.62,2026-04-21
C000000496,0.0848,0.0848,False,0.62,2026-02-02
C000000497,0.3666,0.3666,False,0.62,2026-01-11
C000000498,0.5131,0.5131,False,0.62,2026-07-14
C000000499,0.443,0.443,False,0.62,2026-07-01
C000000500,0.3769,0.3769,False,0.62,2026-06-26
C000000501,0.3966,0.3966,False,0.62,2025-12-01
