site,service_code,week,cases,cancels,cancel_rate,alert_fired
A,A-CARD,2026-05-04,39,2,0.0513,False
A,A-CARD,2026-05-11,32,5,0.1562,False
A,A-CARD,2026-05-18,31,6,0.1935,False
A,A-CARD,2026-05-25,35,6,0.1714,False
A,A-CARD,2026-06-01,40,3,0.075,False
A,A-CARD,2026-06-08,32,4,0.125,False
A,A-CARD,2026-06-15,36,2,0.0556,False
A,A-CARD,2026-06-22,41,5,0.122,False
A,A-CARD,2026-06-29,31,3,0.0968,False
A,A-CARD,2026-07-06,34,4,0.1176,False
A,A-CARD,2026-07-13,44,4,0.0909,False
A,A-CARD,2026-07-20,35,7,0.2,False
A,A-CARD,2026-07-27,20,4,0.2,True
A,A-ENT,2025-07-28,13,0,0.0,False
A,A-ENT,2025-08-04,35,6,0.1714,False
A,A-ENT,2025-08-11,32,4,0.125,False
A,A-ENT,2025-08-18,35,2,0.0571,False
A,A-ENT,2025-08-25,32,4,0.125,False
A,A-ENT,2025-09-01,41,8,0.1951,False
A,A-ENT,2025-09-08,31,2,0.0645,False
A,A-ENT,2025-09-15,37,4,0.1081,False
A,A-ENT,2025-09-22,47,4,0.0851,False
A,A-ENT,2025-09-29,34,1,0.0294,False
A,A-ENT,2025-10-06,35,2,0.0571,False
A,A-ENT,2025-10-13,39,5,0.1282,False
A,A-ENT,2025-10-20,33,4,0.1212,False
A,A-ENT,2025-10-27,28,4,0.1429,False
A,A-ENT,2025-11-03,27,5,0.1852,False
A,A-ENT,2025-11-10,38,3,0.0789,False
A,A-ENT,2025-11-17,31,5,0.1613,False
A,A-ENT,2025-11-24,33,1,0.0303,False
A,A-ENT,2025-12-01,33,5,0.1515,False
A,A-ENT,2025-12-08,34,6,0.1765,False
A,A-ENT,2025-12-15,30,8,0.2667,False
A,A-ENT,2025-12-22,31,7,0.2258,False
A,A-ENT,2025-12-29,35,8,0.2286,False
A,A-ENT,2026-01-05,31,2,0.0645,False
A,A-ENT,2026-01-12,39,1,0.0256,False
A,A-ENT,2026-01-19,20,1,0.05,False
A,A-ENT,2026-01-26,23,2,0.087,False
A,A-ENT,2026-02-02,35,8,0.2286,False
A,A-ENT,2026-02-09,36,1,0.0278,False
A,A-ENT,2026-02-16,38,5,0.1316,False
A,A-ENT,2026-02-23,30,4,0.1333,False
A,A-ENT,2026-03-02,26,1,0.0385,False
A,A-ENT,2026-03-09,31,4,0.129,False
A,A-ENT,2026-03-16,37,4,0.1081,False
A,A-ENT,2026-03-23,40,4,0.1,False
A,A-ENT,2026-03-30,20,3,0.15,False
A,A-ENT,2026-04-06,30,6,0.2,False
A,A-ENT,2026-04-13,39,3,0.0769,False
A,A-ENT,2026-04-20,42,4,0.0952,False
A,A-ENT,2026-04-27,40,5,0.125,False
A,A-ENT,2026-05-04,34,6,0.1765,False
A,A-ENT,2026-05-11,46,8,0.1739,False
A,A-ENT,2026-05-18,38,3,0.0789,False
A,A-ENT,2026-05-25,44,9,0.2045,False
A,A-ENT,2026-06-01,32,3,0.0938,False
A,A-ENT,2026-06-08,51,6,0.1176,False
A,A-ENT,2026-06-15,33,6,0.1818,False
A,A-ENT,2026-06-22,42,4,0.0952,False
A,A-ENT,2026-06-29,35,3,0.0857,False
A,A-ENT,2026-07-06,33,2,0.0606,False
A,A-ENT,2026-07-13,40,4,0.1,False
A,A-ENT,2026-07-20,31,4,0.129,False
A,A-ENT,2026-07-27,12,1,0.0833,False
A,A-GEN,2025-07-28,10,1,0.1,False
A,A-GEN,2025-08-04,33,4,0.1212,False
A,A-GEN,2025-08-11,37,3,0.0811,False
A,A-GEN,2025-08-18,36,1,0.0278,False
A,A-GEN,2025-08-25,36,1,0.0278,False
A,A-GEN,2025-09-01,35,2,0.0571,False
A,A-GEN,2025-09-08,33,3,0.0909,False
A,A-GEN,2025-09-15,41,1,0.0244,False
A,A-GEN,2025-09-22,37,0,0.0,False
A,A-GEN,2025-09-29,40,2,0.05,False
A,A-GEN,2025-10-06,39,4,0.1026,False
A,A-GEN,2025-10-13,29,3,0.1034,False
A,A-GEN,2025-10-20,43,2,0.0465,False
A,A-GEN,2025-10-27,26,2,0.0769,False
A,A-GEN,2025-11-03,24,1,0.0417,False
A,A-GEN,2025-11-10,37,3,0.0811,False
A,A-GEN,2025-11-17,42,7,0.1667,False
A,A-GEN,2025-11-24,40,2,0.05,False
A,A-GEN,2025-12-01,28,2,0.0714,False
A,A-GEN,2025-12-08,34,0,0.0,False
A,A-GEN,2025-12-15,30,2,0.0667,False
A,A-GEN,2025-12-22,37,4,0.1081,False
A,A-GEN,2025-12-29,24,4,0.1667,False
A,A-GEN,2026-01-05,38,5,0.1316,False
A,A-GEN,2026-01-12,42,3,0.0714,False
A,A-GEN,2026-01-19,37,1,0.027,False
A,A-GEN,2026-01-26,34,1,0.0294,False
A,A-GEN,2026-02-02,37,0,0.0,False
A,A-GEN,2026-02-09,35,2,0.0571,False
A,A-GEN,2026-02-16,37,2,0.0541,False
A,A-GEN,2026-02-23,35,1,0.0286,False
A,A-GEN,2026-03-02,27,2,0.0741,False
A,A-GEN,2026-03-09,31,4,0.129,False
A,A-GEN,2026-03-16,25,3,0.12,False
A,A-GEN,2026-03-23,47,0,0.0,False
A,A-GEN,2026-03-30,31,4,0.129,False
A,A-GEN,2026-04-06,28,3,0.1071,False
A,A-GEN,2026-04-13,34,2,0.0588,False
A,A-GEN,2026-04-20,30,4,0.1333,False
A,A-GEN,2026-04-27,23,1,0.0435,False
A,A-GEN,2026-05-04,18,0,0.0,False
A,A-GEN,2026-05-11,21,2,0.0952,False
A,A-GEN,2026-05-18,10,0,0.0,False
A,A-GEN,2026-05-25,13,2,0.1538,False
A,A-GEN,2026-06-01,20,1,0.05,False
A,A-GEN,2026-06-08,17,0,0.0,False
A,A-GEN,2026-06-15,12,1,0.0833,False
A,A-GEN,2026-06-22,17,0,0.0,False
A,A-GEN,2026-06-29,13,0,0.0,False
A,A-GEN,2026-07-06,11,0,0.0,False
A,A-GEN,2026-07-13,18,1,0.0556,False
A,A-GEN,2026-07-20,11,0,0.0,False
A,A-GEN,2026-07-27,2,0,0.0,False
A,A-GYN,2025-07-28,15,0,0.0,False
A,A-GYN,2025-08-04,38,0,0.0,False
A,A-GYN,2025-08-11,31,2,0.0645,False
A,A-GYN,2025-08-18,34,2,0.0588,False
A,A-GYN,2025-08-25,39,3,0.0769,False
A,A-GYN,2025-09-01,36,1,0.0278,False
A,A-GYN,2025-09-08,37,4,0.1081,False
A,A-GYN,2025-09-15,31,2,0.0645,False
A,A-GYN,2025-09-22,32,5,0.1562,False
A,A-GYN,2025-09-29,50,6,0.12,False
A,A-GYN,2025-10-06,41,3,0.0732,False
A,A-GYN,2025-10-13,42,3,0.0714,False
A,A-GYN,2025-10-20,36,1,0.0278,False
A,A-GYN,2025-10-27,35,1,0.0286,False
A,A-GYN,2025-11-03,22,1,0.0455,False
A,A-GYN,2025-11-10,40,2,0.05,False
A,A-GYN,2025-11-17,47,2,0.0426,False
A,A-GYN,2025-11-24,45,5,0.1111,False
A,A-GYN,2025-12-01,37,2,0.0541,False
A,A-GYN,2025-12-08,24,0,0.0,False
A,A-GYN,2025-12-15,33,2,0.0606,False
A,A-GYN,2025-12-22,39,5,0.1282,False
A,A-GYN,2025-12-29,38,2,0.0526,False
A,A-GYN,2026-01-05,31,3,0.0968,False
A,A-GYN,2026-01-12,35,2,0.0571,False
A,A-GYN,2026-01-19,37,2,0.0541,False
A,A-GYN,2026-01-26,36,3,0.0833,False
A,A-GYN,2026-02-02,46,3,0.0652,False
A,A-GYN,2026-02-09,35,1,0.0286,False
A,A-GYN,2026-02-16,32,1,0.0312,False
A,A-GYN,2026-02-23,30,3,0.1,False
A,A-GYN,2026-03-02,25,1,0.04,False
A,A-GYN,2026-03-09,31,0,0.0,False
A,A-GYN,2026-03-16,37,5,0.1351,False
A,A-GYN,2026-03-23,34,1,0.0294,False
A,A-GYN,2026-03-30,39,0,0.0,False
A,A-GYN,2026-04-06,40,0,0.0,False
A,A-GYN,2026-04-13,32,1,0.0312,False
A,A-GYN,2026-04-20,43,3,0.0698,False
A,A-GYN,2026-04-27,13,0,0.0,False
A,A-GYN,2026-05-04,13,2,0.1538,False
A,A-GYN,2026-05-11,16,0,0.0,False
A,A-GYN,2026-05-18,21,0,0.0,False
A,A-GYN,2026-05-25,23,0,0.0,False
A,A-GYN,2026-06-01,13,1,0.0769,False
A,A-GYN,2026-06-08,11,1,0.0909,False
A,A-GYN,2026-06-15,17,0,0.0,False
A,A-GYN,2026-06-22,10,0,0.0,False
A,A-GYN,2026-06-29,7,0,0.0,False
A,A-GYN,2026-07-06,9,1,0.1111,False
A,A-GYN,2026-07-13,11,0,0.0,False
A,A-GYN,2026-07-20,21,1,0.0476,False
A,A-GYN,2026-07-27,8,0,0.0,False
A,A-NEURO,2025-07-28,14,1,0.0714,False
A,A-NEURO,2025-08-04,43,2,0.0465,False
A,A-NEURO,2025-08-11,29,6,0.2069,False
A,A-NEURO,2025-08-18,43,4,0.093,False
A,A-NEURO,2025-08-25,40,3,0.075,False
A,A-NEURO,2025-09-01,39,5,0.1282,False
A,A-NEURO,2025-09-08,33,1,0.0303,False
A,A-NEURO,2025-09-15,31,3,0.0968,False
A,A-NEURO,2025-09-22,41,3,0.0732,False
A,A-NEURO,2025-09-29,44,4,0.0909,False
A,A-NEURO,2025-10-06,40,2,0.05,False
A,A-NEURO,2025-10-13,37,5,0.1351,False
A,A-NEURO,2025-10-20,34,4,0.1176,False
A,A-NEURO,2025-10-27,36,3,0.0833,False
A,A-NEURO,2025-11-03,35,3,0.0857,False
A,A-NEURO,2025-11-10,39,7,0.1795,False
A,A-NEURO,2025-11-17,32,4,0.125,False
A,A-NEURO,2025-11-24,33,3,0.0909,False
A,A-NEURO,2025-12-01,44,5,0.1136,False
A,A-NEURO,2025-12-08,48,5,0.1042,False
A,A-NEURO,2025-12-15,38,6,0.1579,False
A,A-NEURO,2025-12-22,42,9,0.2143,False
A,A-NEURO,2025-12-29,36,7,0.1944,False
A,A-NEURO,2026-01-05,34,3,0.0882,False
A,A-NEURO,2026-01-12,42,4,0.0952,False
A,A-NEURO,2026-01-19,23,4,0.1739,False
A,A-NEURO,2026-01-26,33,4,0.1212,False
A,A-NEURO,2026-02-02,37,3,0.0811,False
A,A-NEURO,2026-02-09,34,1,0.0294,False
A,A-NEURO,2026-02-16,27,4,0.1481,False
A,A-NEURO,2026-02-23,43,5,0.1163,False
A,A-NEURO,2026-03-02,32,4,0.125,False
A,A-NEURO,2026-03-09,33,4,0.1212,False
A,A-NEURO,2026-03-16,34,0,0.0,False
A,A-NEURO,2026-03-23,27,4,0.1481,False
A,A-NEURO,2026-03-30,40,6,0.15,False
A,A-NEURO,2026-04-06,42,4,0.0952,False
A,A-NEURO,2026-04-13,34,6,0.1765,False
A,A-NEURO,2026-04-20,45,5,0.1111,False
A,A-NEURO,2026-04-27,41,5,0.122,False
A,A-NEURO,2026-05-04,36,6,0.1667,False
A,A-NEURO,2026-05-11,22,3,0.1364,False
A,A-NEURO,2026-05-18,34,3,0.0882,False
A,A-NEURO,2026-05-25,36,2,0.0556,False
A,A-NEURO,2026-06-01,24,1,0.0417,False
A,A-NEURO,2026-06-08,31,2,0.0645,False
A,A-NEURO,2026-06-15,45,6,0.1333,False
A,A-NEURO,2026-06-22,19,3,0.1579,False
A,A-NEURO,2026-06-29,41,6,0.1463,False
A,A-NEURO,2026-07-06,31,5,0.1613,False
A,A-NEURO,2026-07-13,37,4,0.1081,False
A,A-NEURO,2026-07-20,46,3,0.0652,False
A,A-NEURO,2026-07-27,19,1,0.0526,False
A,A-OPHT,2025-07-28,18,2,0.1111,False
A,A-OPHT,2025-08-04,55,5,0.0909,False
A,A-OPHT,2025-08-11,38,3,0.0789,False
A,A-OPHT,2025-08-18,42,2,0.0476,False
A,A-OPHT,2025-08-25,33,3,0.0909,False
A,A-OPHT,2025-09-01,29,3,0.1034,False
A,A-OPHT,2025-09-08,26,1,0.0385,False
A,A-OPHT,2025-09-15,40,7,0.175,False
A,A-OPHT,2025-09-22,48,3,0.0625,False
A,A-OPHT,2025-09-29,33,2,0.0606,False
A,A-OPHT,2025-10-06,28,6,0.2143,False
A,A-OPHT,2025-10-13,32,2,0.0625,False
A,A-OPHT,2025-10-20,33,1,0.0303,False
A,A-OPHT,2025-10-27,36,2,0.0556,False
A,A-OPHT,2025-11-03,38,5,0.1316,False
A,A-OPHT,2025-11-10,30,5,0.1667,False
A,A-OPHT,2025-11-17,29,7,0.2414,False
A,A-OPHT,2025-11-24,42,3,0.0714,False
A,A-OPHT,2025-12-01,28,2,0.0714,False
A,A-OPHT,2025-12-08,35,2,0.0571,False
A,A-OPHT,2025-12-15,33,5,0.1515,False
A,A-OPHT,2025-12-22,33,8,0.2424,False
A,A-OPHT,2025-12-29,42,7,0.1667,False
A,A-OPHT,2026-01-05,38,4,0.1053,False
A,A-OPHT,2026-01-12,45,5,0.1111,False
A,A-OPHT,2026-01-19,35,5,0.1429,False
A,A-OPHT,2026-01-26,36,4,0.1111,False
A,A-OPHT,2026-02-02,30,2,0.0667,False
A,A-OPHT,2026-02-09,40,2,0.05,False
A,A-OPHT,2026-02-16,30,3,0.1,False
A,A-OPHT,2026-02-23,51,4,0.0784,False
A,A-OPHT,2026-03-02,32,2,0.0625,False
A,A-OPHT,2026-03-09,34,4,0.1176,False
A,A-OPHT,2026-03-16,36,3,0.0833,False
A,A-OPHT,2026-03-23,39,5,0.1282,False
A,A-OPHT,2026-03-30,26,5,0.1923,False
A,A-OPHT,2026-04-06,34,0,0.0,False
A,A-OPHT,2026-04-13,29,2,0.069,False
A,A-OPHT,2026-04-20,44,5,0.1136,False
A,A-OPHT,2026-04-27,28,5,0.1786,False
A,A-OPHT,2026-05-04,36,7,0.1944,False
A,A-OPHT,2026-05-11,38,3,0.0789,False
A,A-OPHT,2026-05-18,34,4,0.1176,False
A,A-OPHT,2026-05-25,33,3,0.0909,False
A,A-OPHT,2026-06-01,41,6,0.1463,False
A,A-OPHT,2026-06-08,39,2,0.0513,False
A,A-OPHT,2026-06-15,37,3,0.0811,False
A,A-OPHT,2026-06-22,39,2,0.0513,False
A,A-OPHT,2026-06-29,27,4,0.1481,False
A,A-OPHT,2026-07-06,40,3,0.075,False
A,A-OPHT,2026-07-13,36,4,0.1111,False
A,A-OPHT,2026-07-20,37,4,0.1081,False
A,A-OPHT,2026-07-27,22,2,0.0909,False
A,A-ORTH,2025-07-28,11,1,0.0909,False
A,A-ORTH,2025-08-04,33,5,0.1515,False
A,A-ORTH,2025-08-11,40,3,0.075,False
A,A-ORTH,2025-08-18,50,9,0.18,False
A,A-ORTH,2025-08-25,29,3,0.1034,False
A,A-ORTH,2025-09-01,34,5,0.1471,False
A,A-ORTH,2025-09-08,33,4,0.1212,False
A,A-ORTH,2025-09-15,45,6,0.1333,False
A,A-ORTH,2025-09-22,26,4,0.1538,False
A,A-ORTH,2025-09-29,35,5,0.1429,False
A,A-ORTH,2025-10-06,33,8,0.2424,False
A,A-ORTH,2025-10-13,39,4,0.1026,False
A,A-ORTH,2025-10-20,32,3,0.0938,False
A,A-ORTH,2025-10-27,38,3,0.0789,False
A,A-ORTH,2025-11-03,31,4,0.129,False
A,A-ORTH,2025-11-10,25,4,0.16,False
A,A-ORTH,2025-11-17,38,5,0.1316,False
A,A-ORTH,2025-11-24,43,2,0.0465,False
A,A-ORTH,2025-12-01,35,4,0.1143,False
A,A-ORTH,2025-12-08,33,6,0.1818,False
A,A-ORTH,2025-12-15,28,5,0.1786,False
A,A-ORTH,2025-12-22,35,7,0.2,False
A,A-ORTH,2025-12-29,28,14,0.5,False
A,A-ORTH,2026-01-05,19,1,0.0526,False
A,A-ORTH,2026-01-12,43,5,0.1163,False
A,A-ORTH,2026-01-19,38,5,0.1316,False
A,A-ORTH,2026-01-26,30,3,0.1,False
A,A-ORTH,2026-02-02,38,4,0.1053,False
A,A-ORTH,2026-02-09,50,7,0.14,False
A,A-ORTH,2026-02-16,40,6,0.15,False
A,A-ORTH,2026-02-23,40,6,0.15,False
A,A-ORTH,2026-03-02,29,5,0.1724,False
A,A-ORTH,2026-03-09,43,2,0.0465,False
A,A-ORTH,2026-03-16,27,0,0.0,False
A,A-ORTH,2026-03-23,46,3,0.0652,False
A,A-ORTH,2026-03-30,31,5,0.1613,False
A,A-ORTH,2026-04-06,25,6,0.24,False
A,A-ORTH,2026-04-13,46,11,0.2391,False
A,A-ORTH,2026-04-20,34,5,0.1471,False
A,A-ORTH,2026-04-27,31,3,0.0968,False
A,A-ORTH,2026-05-04,29,5,0.1724,False
A,A-ORTH,2026-05-11,35,5,0.1429,False
A,A-ORTH,2026-05-18,36,3,0.0833,False
A,A-ORTH,2026-05-25,32,5,0.1562,False
A,A-ORTH,2026-06-01,46,3,0.0652,False
A,A-ORTH,2026-06-08,36,5,0.1389,False
A,A-ORTH,2026-06-15,39,9,0.2308,False
A,A-ORTH,2026-06-22,48,6,0.125,False
A,A-ORTH,2026-06-29,31,3,0.0968,False
A,A-ORTH,2026-07-06,49,3,0.0612,False
A,A-ORTH,2026-07-13,30,3,0.1,False
A,A-ORTH,2026-07-20,37,5,0.1351,False
A,A-ORTH,2026-07-27,16,1,0.0625,False
A,A-PAED,2025-07-28,8,0,0.0,False
A,A-PAED,2025-08-04,39,0,0.0,False
A,A-PAED,2025-08-11,36,1,0.0278,False
A,A-PAED,2025-08-18,42,3,0.0714,False
A,A-PAED,2025-08-25,22,0,0.0,False
A,A-PAED,2025-09-01,39,1,0.0256,False
A,A-PAED,2025-09-08,29,3,0.1034,False
A,A-PAED,2025-09-15,34,3,0.0882,False
A,A-PAED,2025-09-22,38,4,0.1053,False
A,A-PAED,2025-09-29,33,1,0.0303,False
A,A-PAED,2025-10-06,40,5,0.125,False
A,A-PAED,2025-10-13,38,3,0.0789,False
A,A-PAED,2025-10-20,30,0,0.0,False
A,A-PAED,2025-10-27,34,2,0.0588,False
A,A-PAED,2025-11-03,39,3,0.0769,False
A,A-PAED,2025-11-10,35,1,0.0286,False
A,A-PAED,2025-11-17,38,3,0.0789,False
A,A-PAED,2025-11-24,35,3,0.0857,False
A,A-PAED,2025-12-01,36,4,0.1111,False
A,A-PAED,2025-12-08,34,1,0.0294,False
A,A-PAED,2025-12-15,38,1,0.0263,False
A,A-PAED,2025-12-22,42,3,0.0714,False
A,A-PAED,2025-12-29,37,3,0.0811,False
A,A-PAED,2026-01-05,37,7,0.1892,False
A,A-PAED,2026-01-12,42,1,0.0238,False
A,A-PAED,2026-01-19,34,3,0.0882,False
A,A-PAED,2026-01-26,32,3,0.0938,False
A,A-PAED,2026-02-02,38,1,0.0263,False
A,A-PAED,2026-02-09,39,3,0.0769,False
A,A-PAED,2026-02-16,39,4,0.1026,False
A,A-PAED,2026-02-23,41,5,0.122,False
A,A-PAED,2026-03-02,34,1,0.0294,False
A,A-PAED,2026-03-09,34,1,0.0294,False
A,A-PAED,2026-03-16,42,5,0.119,False
A,A-PAED,2026-03-23,40,1,0.025,False
A,A-PAED,2026-03-30,33,3,0.0909,False
A,A-PAED,2026-04-06,37,1,0.027,False
A,A-PAED,2026-04-13,45,3,0.0667,False
A,A-PAED,2026-04-20,24,2,0.0833,False
A,A-PAED,2026-04-27,72,5,0.0694,False
A,A-PAED,2026-05-04,115,4,0.0348,False
A,A-PAED,2026-05-11,117,5,0.0427,False
A,A-PAED,2026-05-18,107,7,0.0654,False
A,A-PAED,2026-05-25,113,6,0.0531,False
A,A-PAED,2026-06-01,110,7,0.0636,False
A,A-PAED,2026-06-08,117,6,0.0513,False
A,A-PAED,2026-06-15,121,6,0.0496,False
A,A-PAED,2026-06-22,111,4,0.036,False
A,A-PAED,2026-06-29,112,5,0.0446,False
A,A-PAED,2026-07-06,118,5,0.0424,False
A,A-PAED,2026-07-13,123,7,0.0569,False
A,A-PAED,2026-07-20,135,8,0.0593,False
A,A-PAED,2026-07-27,76,3,0.0395,False
A,A-PLAS,2025-07-28,17,2,0.1176,False
A,A-PLAS,2025-08-04,41,1,0.0244,False
A,A-PLAS,2025-08-11,32,0,0.0,False
A,A-PLAS,2025-08-18,35,3,0.0857,False
A,A-PLAS,2025-08-25,31,1,0.0323,False
A,A-PLAS,2025-09-01,32,1,0.0312,False
A,A-PLAS,2025-09-08,36,0,0.0,False
A,A-PLAS,2025-09-15,39,4,0.1026,False
A,A-PLAS,2025-09-22,32,2,0.0625,False
A,A-PLAS,2025-09-29,48,3,0.0625,False
A,A-PLAS,2025-10-06,33,4,0.1212,False
A,A-PLAS,2025-10-13,31,2,0.0645,False
A,A-PLAS,2025-10-20,32,5,0.1562,False
A,A-PLAS,2025-10-27,36,5,0.1389,False
A,A-PLAS,2025-11-03,34,4,0.1176,False
A,A-PLAS,2025-11-10,46,4,0.087,False
A,A-PLAS,2025-11-17,37,1,0.027,False
A,A-PLAS,2025-11-24,26,3,0.1154,False
A,A-PLAS,2025-12-01,27,4,0.1481,False
A,A-PLAS,2025-12-08,31,3,0.0968,False
A,A-PLAS,2025-12-15,38,4,0.1053,False
A,A-PLAS,2025-12-22,41,7,0.1707,False
A,A-PLAS,2025-12-29,45,8,0.1778,False
A,A-PLAS,2026-01-05,38,1,0.0263,False
A,A-PLAS,2026-01-12,46,5,0.1087,False
A,A-PLAS,2026-01-19,39,3,0.0769,False
A,A-PLAS,2026-01-26,37,2,0.0541,False
A,A-PLAS,2026-02-02,44,2,0.0455,False
A,A-PLAS,2026-02-09,41,5,0.122,False
A,A-PLAS,2026-02-16,39,2,0.0513,False
A,A-PLAS,2026-02-23,37,1,0.027,False
A,A-PLAS,2026-03-02,24,1,0.0417,False
A,A-PLAS,2026-03-09,29,2,0.069,False
A,A-PLAS,2026-03-16,32,5,0.1562,False
A,A-PLAS,2026-03-23,30,2,0.0667,False
A,A-PLAS,2026-03-30,43,6,0.1395,False
A,A-PLAS,2026-04-06,32,2,0.0625,False
A,A-PLAS,2026-04-13,28,4,0.1429,False
A,A-PLAS,2026-04-20,35,3,0.0857,False
A,A-PLAS,2026-04-27,29,1,0.0345,False
A,A-PLAS,2026-05-04,16,1,0.0625,False
A,A-PLAS,2026-05-11,16,1,0.0625,False
A,A-PLAS,2026-05-18,15,0,0.0,False
A,A-PLAS,2026-05-25,13,1,0.0769,False
A,A-PLAS,2026-06-01,8,1,0.125,False
A,A-PLAS,2026-06-08,20,0,0.0,False
A,A-PLAS,2026-06-15,18,0,0.0,False
A,A-PLAS,2026-06-22,18,1,0.0556,False
A,A-PLAS,2026-06-29,15,1,0.0667,False
A,A-PLAS,2026-07-06,13,1,0.0769,False
A,A-PLAS,2026-07-13,14,1,0.0714,False
A,A-PLAS,2026-07-20,15,0,0.0,False
A,A-PLAS,2026-07-27,10,2,0.2,True
A,A-THOR,2025-07-28,20,0,0.0,False
A,A-THOR,2025-08-04,32,2,0.0625,False
A,A-THOR,2025-08-11,29,4,0.1379,False
A,A-THOR,2025-08-18,44,5,0.1136,False
A,A-THOR,2025-08-25,32,2,0.0625,False
A,A-THOR,2025-09-01,33,3,0.0909,False
A,A-THOR,2025-09-08,35,2,0.0571,False
A,A-THOR,2025-09-15,28,2,0.0714,False
A,A-THOR,2025-09-22,24,1,0.0417,False
A,A-THOR,2025-09-29,41,4,0.0976,False
A,A-THOR,2025-10-06,32,2,0.0625,False
A,A-THOR,2025-10-13,40,6,0.15,False
A,A-THOR,2025-10-20,33,5,0.1515,False
A,A-THOR,2025-10-27,43,4,0.093,False
A,A-THOR,2025-11-03,29,2,0.069,False
A,A-THOR,2025-11-10,43,3,0.0698,False
A,A-THOR,2025-11-17,35,5,0.1429,False
A,A-THOR,2025-11-24,27,6,0.2222,False
A,A-THOR,2025-12-01,29,4,0.1379,False
A,A-THOR,2025-12-08,50,1,0.02,False
A,A-THOR,2025-12-15,34,4,0.1176,False
A,A-THOR,2025-12-22,38,5,0.1316,False
A,A-THOR,2025-12-29,35,6,0.1714,False
A,A-THOR,2026-01-05,34,4,0.1176,False
A,A-THOR,2026-01-12,38,3,0.0789,False
A,A-THOR,2026-01-19,31,3,0.0968,False
A,A-THOR,2026-01-26,42,4,0.0952,False
A,A-THOR,2026-02-02,34,3,0.0882,False
A,A-THOR,2026-02-09,24,2,0.0833,False
A,A-THOR,2026-02-16,47,6,0.1277,False
A,A-THOR,2026-02-23,40,3,0.075,False
A,A-THOR,2026-03-02,32,4,0.125,False
A,A-THOR,2026-03-09,35,3,0.0857,False
A,A-THOR,2026-03-16,41,4,0.0976,False
A,A-THOR,2026-03-23,34,4,0.1176,False
A,A-THOR,2026-03-30,35,4,0.1143,False
A,A-THOR,2026-04-06,38,2,0.0526,False
A,A-THOR,2026-04-13,37,7,0.1892,False
A,A-THOR,2026-04-20,29,3,0.1034,False
A,A-THOR,2026-04-27,30,5,0.1667,False
A,A-THOR,2026-05-04,33,6,0.1818,False
A,A-THOR,2026-05-11,43,5,0.1163,False
A,A-THOR,2026-05-18,35,3,0.0857,False
A,A-THOR,2026-05-25,38,3,0.0789,False
A,A-THOR,2026-06-01,43,5,0.1163,False
A,A-THOR,2026-06-08,40,7,0.175,False
A,A-THOR,2026-06-15,37,5,0.1351,False
A,A-THOR,2026-06-22,34,2,0.0588,False
A,A-THOR,2026-06-29,37,5,0.1351,False
A,A-THOR,2026-07-06,37,4,0.1081,False
A,A-THOR,2026-07-13,45,2,0.0444,False
A,A-THOR,2026-07-20,37,3,0.0811,False
A,A-THOR,2026-07-27,15,4,0.2667,True
A,A-URO,2025-07-28,19,5,0.2632,True
A,A-URO,2025-08-04,34,4,0.1176,False
