case_id,uplift_score,targeted,model_auc_reported
C000018540,0.6968,True,0.71
C000037860,0.4655,False,0.71
C000037967,0.5941,True,0.71
C000017322,0.7117,True,0.71
C000005144,0.2266,False,0.71
C000005546,0.8352,True,0.71
C000035268,0.1308,False,0.71
C000028106,0.7773,True,0.71
C000016672,0.2076,False,0.71
C000017604,0.4785,False,0.71
C000020869,0.3286,False,0.71
C000004026,0.4163,False,0.71
C000010560,0.5404,False,0.71
C000033736,0.3071,False,0.71
C000027201,0.5305,False,0.71
C000035034,0.285,False,0.71
C000014975,0.5612,True,0.71
C000013083,0.6243,True,0.71
C000037606,0.534,False,0.71
C000005750,0.3211,False,0.71
C000039097,0.8434,True,0.71
C000027162,0.8505,True,0.71
C000011114,0.5462,False,0.71
C000031897,0.835,True,0.71
C000000694,0.4224,False,0.71
C000028250,0.2578,False,0.71
C000001562,0.6746,True,0.71
C000006937,0.0,False,0.71
C000032275,0.2676,False,0.71
C000000545,0.6812,True,0.71
C000006318,0.4275,False,0.71
C000022844,0.9164,True,0.71
C000019962,0.6855,True,0.71
C000019725,0.7342,True,0.71
C000038155,0.5932,True,0.71
C000014740,0.6587,True,0.71
C000004396,0.4707,False,0.71
C000039645,0.3653,False,0.71
C000009952,0.4386,False,0.71
C000014691,0.6197,True,0.71
C000027908,0.8314,True,0.71
C000019688,0.5171,False,0.71
C000014267,0.717,True,0.71
C000024286,0.4774,False,0.71
C000025317,0.1969,False,0.71
C000038627,0.4228,False,0.71
C000031337,0.7658,True,0.71
C000030188,0.6404,True,0.71
C000004214,0.3867,False,0.71
C000018185,0.4778,False,0.71
C000017869,0.1563,False,0.71
C000001681,0.4942,False,0.71
C000027677,0.2488,False,0.71
C000024796,0.3096,False,0.71
C000031762,0.659,True,0.71
C000002256,0.7038,True,0.71
C000027384,0.9607,True,0.71
C000037448,0.7814,True,0.71
C000031463,0.5322,False,0.71
C000012193,0.6799,True,0.71
C000002685,0.5024,False,0.71
C000002487,0.7195,True,0.71
C000005838,0.333,False,0.71
C000019295,0.3684,False,0.71
C000025774,0.2307,False,0.71
C000004305,0.5347,False,0.71
C000026779,0.4247,False,0.71
C000008676,0.7044,True,0.71
C000000204,0.1565,False,0.71
C000027132,0.6503,True,0.71
C000028394,0.387,False,0.71
C000014172,0.6211,True,0.71
C000009394,0.7596,True,0.71
C000015022,0.7634,True,0.71
C000021484,0.2393,False,0.71
C000017963,0.5071,False,0.71
C000019188,0.5434,False,0.71
C000009948,0.4121,False,0.71
C000034192,0.5284,False,0.71
C000030178,0.4212,False,0.71
C000019129,0.8779,True,0.71
C000032620,0.3221,False,0.71
C000021613,0.3513,False,0.71
C000012475,0.3025,False,0.71
C000018332,0.3128,False,0.71
C000027563,0.6646,True,0.71
C000014366,0.4327,False,0.71
C000024872,0.7124,True,0.71
C000004330,0.7054,True,0.71
C000031579,0.5745,True,0.71
C000013302,0.466,False,0.71
C000014963,0.3763,False,0.71
C000009162,0.8307,True,0.71
C000014630,0.699,True,0.71
C000006171,0.5616,True,0.71
C000005270,0.6305,True,0.71
C000030695,0.5422,False,0.71
C000034220,0.3668,False,0.71
C000001287,0.2919,False,0.71
C000006869,0.5241,False,0.71
C000038895,0.4181,False,0.71
C000012410,0.5508,True,0.71
C000016876,0.461,False,0.71
C000012296,0.3906,False,0.71
C000000470,0.6591,True,0.71
C000003914,0.6098,True,0.71
C000030533,0.4471,False,0.71
C000033459,0.387,False,0.71
C000035364,0.7065,True,0.71
C000032223,0.436,False,0.71
C000014579,0.4115,False,0.71
C000002185,0.7201,True,0.71
C000035764,0.247,False,0.71
C000021638,0.7589,True,0.71
C000011942,0.3306,False,0.71
C000024799,0.6183,True,0.71
C000023649,0.2214,False,0.71
C000003417,0.2833,False,0.71
C000036889,0.2122,False,0.71
C000029813,0.4275,False,0.71
C000019067,0.5714,True,0.71
C000006191,0.7998,True,0.71
C000003101,0.6376,True,0.71
C000020409,0.5615,True,0.71
C000003568,0.0,False,0.71
C000021555,0.473,False,0.71
C000033755,0.4556,False,0.71
C000011744,0.5281,False,0.71
C000018054,0.3129,False,0.71
C000001069,0.6843,True,0.71
C000037411,0.321,False,0.71
C000006414,0.3913,False,0.71
C000031758,0.5499,False,0.71
C000039062,0.5105,False,0.71
C000034972,0.6198,True,0.71
C000028564,0.5128,False,0.71
C000017674,0.3565,False,0.71
C000001564,0.5007,False,0.71
C000022307,0.264,False,0.71
C000016694,0.3025,False,0.71
C000013262,0.7281,True,0.71
C000002442,0.6363,True,0.71
C000004974,0.1635,False,0.71
C000012208,0.765,True,0.71
C000018268,0.3376,False,0.71
C000035818,0.368,False,0.71
C000031499,0.5823,True,0.71
C000023416,0.4495,False,0.71
C000029102,0.477,False,0.71
C000026612,0.5538,True,0.71
C000026704,0.578,True,0.71
C000028588,0.463,False,0.71
C000025956,0.2323,False,0.71
C000009652,0.899,True,0.71
C000028739,0.8211,True,0.71
C000034526,0.4419,False,0.71
C000010733,0.6528,True,0.71
C000013847,0.0119,False,0.71
C000036098,0.6176,True,0.71
C000008118,0.6083,True,0.71
C000026592,0.12,False,0.71
C000029306,0.7561,True,0.71
C000033958,0.6692,True,0.71
C000033647,0.1499,False,0.71
C000015362,0.5359,False,0.71
C000006960,0.6589,True,0.71
C000000689,0.1073,False,0.71
C000004622,0.281,False,0.71
C000019646,0.7945,True,0.71
C000005645,0.5818,True,0.71
C000020718,0.2797,False,0.71
C000026833,0.0247,False,0.71
C000030544,0.7693,True,0.71
C000020570,0.6476,True,0.71
C000003230,0.734,True,0.71
C000031781,0.5518,True,0.71
C000000380,0.6328,True,0.71
C000021034,0.6737,True,0.71
C000023412,0.2664,False,0.71
C000001364,0.1413,False,0.71
C000026241,0.5719,True,0.71
C000003902,0.7026,True,0.71
C000035004,0.4994,False,0.71
C000031080,0.2107,False,0.71
C000016957,0.3992,False,0.71
C000025310,0.4549,False,0.71
C000004199,0.362,False,0.71
C000025959,0.4375,False,0.71
C000000664,0.481,False,0.71
C000003772,0.4626,False,0.71
C000023720,0.4603,False,0.71
C000026398,0.5398,False,0.71
C000030773,0.5533,True,0.71
C000026856,0.716,True,0.71
C000021167,0.659,True,0.71
C000018403,0.6149,True,0.71
C000030785,0.5396,False,0.71
C000039394,0.2358,False,0.71
C000037969,0.5683,True,0.71
C000006117,0.2499,False,0.71
C000014624,0.6249,True,0.71
C000036561,0.372,False,0.71
C000035935,0.6463,True,0.71
C000039341,0.6645,True,0.71
C000031326,0.2887,False,0.71
C000012903,0.452,False,0.71
C000029692,0.0703,False,0.71
C000027556,0.5838,True,0.71
C000031891,0.361,False,0.71
C000027936,0.4338,False,0.71
C000020162,0.6401,True,0.71
C000027500,0.6364,True,0.71
C000017818,0.4174,False,0.71
C000008265,0.4812,False,0.71
C000002191,0.451,False,0.71
C000029293,0.5868,True,0.71
C000008515,0.6022,True,0.71
C000001132,0.3751,False,0.71
C000027578,0.7734,True,0.71
C000009410,0.7618,True,0.71
C000002926,0.81,True,0.71
C000007633,0.7543,True,0.71
C000010104,0.5334,False,0.71
C000019887,0.0693,False,0.71
C000021119,0.2032,False,0.71
C000007157,0.6816,True,0.71
C000000370,0.2758,False,0.71
C000025798,0.7936,True,0.71
C000018463,0.6076,True,0.71
C000034202,0.7322,True,0.71
C000025554,0.4977,False,0.71
C000039760,0.6284,True,0.71
C000024025,0.5515,True,0.71
C000012348,0.0093,False,0.71
C000025761,0.3528,False,0.71
C000016786,0.4167,False,0.71
C000011632,0.5685,True,0.71
C000009309,0.8621,True,0.71
C000036577,0.5708,True,0.71
C000031750,0.632,True,0.71
C000005729,0.1906,False,0.71
C000001091,0.4677,False,0.71
C000029538,0.6675,True,0.71
C000001128,0.2625,False,0.71
C000006868,0.7502,True,0.71
C000006239,0.5026,False,0.71
C000030381,0.765,True,0.71
C000019941,0.5777,True,0.71
C000033378,0.5143,False,0.71
C000003565,0.8217,True,0.71
C000022755,0.3186,False,0.71
C000037752,0.3495,False,0.71
C000028710,0.5338,False,0.71
C000000559,0.7229,True,0.71
C000028513,0.3665,False,0.71
C000011947,0.9877,True,0.71
C000008657,0.5152,False,0.71
C000006638,0.7971,True,0.71
C000007823,0.3153,False,0.71
C000013366,0.4555,False,0.71
C000010873,0.5891,True,0.71
C000037333,0.4755,False,0.71
C000022322,0.3418,False,0.71
C000031228,0.7516,True,0.71
C000009753,0.5576,True,0.71
C000036297,0.6822,True,0.71
C000023634,0.2401,False,0.71
C000028073,0.5005,False,0.71
C000000620,0.6421,True,0.71
C000010259,0.496,False,0.71
C000019435,0.1762,False,0.71
C000001656,0.8168,True,0.71
C000015099,0.3165,False,0.71
C000017493,0.4179,False,0.71
C000013923,0.6757,True,0.71
C000014195,0.5214,False,0.71
C000021829,0.4805,False,0.71
C000005643,0.7158,True,0.71
C000002659,0.6109,True,0.71
C000034831,0.4729,False,0.71
C000006852,0.4381,False,0.71
C000037280,0.6644,True,0.71
C000017526,0.1804,False,0.71
C000026200,0.673,True,0.71
C000031309,0.608,True,0.71
C000012717,0.647,True,0.71
C000015617,0.1911,False,0.71
C000014987,0.408,False,0.71
C000003782,0.3059,False,0.71
C000030937,0.7041,True,0.71
C000020264,0.8393,True,0.71
C000022308,0.367,False,0.71
C000036855,0.7046,True,0.71
C000008337,0.8353,True,0.71
C000029871,0.597,True,0.71
C000024022,0.6584,True,0.71
C000006202,0.4245,False,0.71
C000003726,0.5755,True,0.71
C000028634,0.0749,False,0.71
C000027795,0.3597,False,0.71
C000034169,0.0489,False,0.71
C000014524,0.2922,False,0.71
C000005313,0.4569,False,0.71
C000007673,0.6926,True,0.71
C000034808,0.5107,False,0.71
C000010342,0.725,True,0.71
C000038862,0.389,False,0.71
C000026533,0.6146,True,0.71
C000027819,0.3353,False,0.71
C000001518,0.3727,False,0.71
C000002927,0.4721,False,0.71
C000037185,0.6942,True,0.71
C000014991,0.9708,True,0.71
C000025904,0.4744,False,0.71
C000039530,0.562,True,0.71
C000007162,0.6248,True,0.71
C000024656,0.447,False,0.71
C000027312,0.5495,False,0.71
C000004786,0.7066,True,0.71
C000014719,0.6572,True,0.71
C000017429,0.5827,True,0.71
C000029686,0.5301,False,0.71
C000034448,0.315,False,0.71
C000033523,0.2746,False,0.71
C000024143,0.2894,False,0.71
C000007114,0.6099,True,0.71
C000002706,0.3576,False,0.71
C000028072,0.4463,False,0.71
C000029618,0.2308,False,0.71
C000027423,0.5874,True,0.71
C000001946,0.2325,False,0.71
C000006612,0.3219,False,0.71
C000020197,0.6935,True,0.71
C000035792,1.0,True,0.71
C000032112,0.3979,False,0.71
C000039632,0.4812,False,0.71
C000022193,0.4612,False,0.71
C000022018,0.5232,False,0.71
C000024296,0.3163,False,0.71
C000037671,0.4015,False,0.71
C000016543,0.7227,True,0.71
C000006845,0.4381,False,0.71
C000026471,0.5069,False,0.71
C000038473,0.4996,False,0.71
C000021951,0.7172,True,0.71
C000039873,0.3125,False,0.71
C000007380,0.448,False,0.71
C000019699,0.6204,True,0.71
C000037203,0.2155,False,0.71
C000022646,0.313,False,0.71
C000030435,0.8536,True,0.71
C000026591,0.508,False,0.71
C000013566,0.9272,True,0.71
C000012381,0.1957,False,0.71
C000008467,0.8732,True,0.71
C000005570,0.5958,True,0.71
C000030416,0.4733,False,0.71
C000014042,0.4143,False,0.71
C000020861,0.39,False,0.71
C000017997,0.3793,False,0.71
C000015796,0.2579,False,0.71
C000025256,0.6893,True,0.71
C000025223,0.6312,True,0.71
C000029925,0.6005,True,0.71
C000015678,0.6417,True,0.71
C000005893,0.2922,False,0.71
C000024301,0.4092,False,0.71
C000038955,0.9018,True,0.71
C000001133,0.6143,True,0.71
C000025533,0.5011,False,0.71
C000034074,0.4098,False,0.71
C000027641,0.484,False,0.71
C000013469,0.5599,True,0.71
C000036945,0.4613,False,0.71
C000032895,0.5232,False,0.71
C000023907,0.4997,False,0.71
C000023982,0.7713,True,0.71
C000024811,0.204,False,0.71
C000014010,0.6649,True,0.71
C000003461,0.1636,False,0.71
C000001266,0.6288,True,0.71
C000031367,0.4405,False,0.71
C000037316,0.5737,True,0.71
C000022471,0.5596,True,0.71
C000000255,0.6945,True,0.71
C000007838,0.5448,False,0.71
C000009148,0.3279,False,0.71
C000019418,0.3557,False,0.71
C000009755,0.2896,False,0.71
C000012171,0.3646,False,0.71
C000004505,0.3658,False,0.71
C000006441,0.4496,False,0.71
C000001357,0.3915,False,0.71
C000012820,0.401,False,0.71
C000015935,0.7043,True,0.71
C000020990,0.6228,True,0.71
C000012435,0.7559,True,0.71
C000016513,0.729,True,0.71
C000005082,0.6326,True,0.71
C000011068,0.754,True,0.71
C000021879,0.5182,False,0.71
C000005191,0.2342,False,0.71
C000028125,0.6481,True,0.71
C000018026,0.0,False,0.71
C000011503,0.737,True,0.71
C000019395,0.5615,True,0.71
C000018858,0.1507,False,0.71
C000031671,0.2503,False,0.71
C000009377,0.2996,False,0.71
C000020453,0.1859,False,0.71
C000036121,0.75,True,0.71
C000001033,0.5919,True,0.71
C000038476,0.9482,True,0.71
C000017908,0.7017,True,0.71
C000033525,0.694,True,0.71
C000017948,0.4229,False,0.71
C000025628,0.2551,False,0.71
C000032365,0.7763,True,0.71
C000013064,0.4278,False,0.71
C000027304,0.7001,True,0.71
C000024323,0.3441,False,0.71
C000023470,0.4289,False,0.71
C000001316,0.3826,False,0.71
C000034304,0.3316,False,0.71
C000039719,0.0393,False,0.71
C000027239,0.6221,True,0.71
C000030158,0.5144,False,0.71
C000001789,0.6836,True,0.71
C000026900,0.8106,True,0.71
C000007226,0.5977,True,0.71
C000029650,0.7366,True,0.71
C000028462,0.3133,False,0.71
C000015283,0.8113,True,0.71
C000038614,0.5016,False,0.71
C000017340,0.5539,True,0.71
C000001867,0.8677,True,0.71
C000036400,0.5194,False,0.71
C000027619,0.8446,True,0.71
C000005549,0.6977,True,0.71
C000012994,0.6439,True,0.71
C000028271,0.8033,True,0.71
C000005826,0.6965,True,0.71
C000007906,0.3153,False,0.71
C000020544,0.546,False,0.71
C000005253,0.6684,True,0.71
C000007320,0.47,False,0.71
C000035359,0.5955,True,0.71
C000035969,0.4773,False,0.71
C000028627,0.8942,True,0.71
C000015506,0.3119,False,0.71
C000002400,0.2239,False,0.71
C000024924,0.5294,False,0.71
C000030735,0.465,False,0.71
C000016363,0.5665,True,0.71
C000013043,0.5878,True,0.71
C000024672,0.1412,False,0.71
C000037244,0.3435,False,0.71
C000038730,0.2258,False,0.71
C000025828,0.5129,False,0.71
C000016585,0.4594,False,0.71
C000016212,0.6725,True,0.71
C000028267,0.7121,True,0.71
C000014110,0.494,False,0.71
C000038975,0.3889,False,0.71
C000003649,0.8254,True,0.71
C000027260,0.3113,False,0.71
C000034467,0.4874,False,0.71
C000000641,0.5741,True,0.71
C000024073,0.3629,False,0.71
C000015932,0.4522,False,0.71
C000016089,0.8933,True,0.71
C000036644,0.2203,False,0.71
C000022031,0.6569,True,0.71
C000003047,0.4153,False,0.71
C000004079,0.4944,False,0.71
C000024439,0.7122,True,0.71
C000037281,0.0,False,0.71
C000013096,0.4547,False,0.71
C000014814,0.275,False,0.71
C000010392,0.5237,False,0.71
C000018213,0.3331,False,0.71
C000030366,0.6008,True,0.71
C000039610,0.3914,False,0.71
C000020625,0.3684,False,0.71
C000016291,0.7751,True,0.71
C000001591,0.3858,False,0.71
C000016280,0.1825,False,0.71
C000018547,0.4338,False,0.71
C000011557,0.5724,True,0.71
C000037872,0.1762,False,0.71
C000015331,0.4982,False,0.71
C000026750,0.3904,False,0.71
C000022950,0.419,False,0.71
C000038406,0.4284,False,0.71
C000022947,0.6079,True,0.71
C000011867,0.4095,False,0.71
C000026628,0.6624,True,0.71
C000006928,0.4155,False,0.71
C000017442,0.409,False,0.71
C000006887,0.2808,False,0.71
C000001157,0.5955,True,0.71
C000011981,0.5928,True,0.71
C000009639,0.2678,False,0.71
C000011303,0.4416,False,0.71
C000038161,0.6265,True,0.71
C000022611,0.6958,True,0.71
C000027882,0.368,False,0.71
C000009411,0.5195,False,0.71
C000037562,0.7245,True,0.71
C000004866,0.5304,False,0.71
C000024830,0.4538,False,0.71
C000020344,0.6513,True,0.71
C000021893,0.5448,False,0.71
C000006914,0.2382,False,0.71
C000005578,0.6571,True,0.71
C000033750,0.5028,False,0.71
C000028813,0.5005,False,0.71
C000007896,0.7259,True,0.71
C000034706,0.6618,True,0.71
C000014498,0.5637,True,0.71
C000009167,1.0,True,0.71
C000017929,0.5093,False,0.71
C000013110,0.9337,True,0.71
C000017384,0.4969,False,0.71
C000003490,0.2158,False,0.71
C000039653,0.3044,False,0.71
C000019738,0.3566,False,0.71
C000018578,0.8779,True,0.71
C000016302,0.4694,False,0.71
C000023327,0.3994,False,0.71
C000010014,0.3679,False,0.71
C000026175,0.3742,False,0.71
C000013769,0.7654,True,0.71
C000006958,0.6828,True,0.71
C000003089,0.7407,True,0.71
C000013183,0.2528,False,0.71
C000035348,0.1781,False,0.71
C000024954,0.3601,False,0.71
C000039722,0.4864,False,0.71
C000001644,0.3852,False,0.71
C000018252,0.5844,True,0.71
C000021679,0.3657,False,0.71
C000025160,0.3754,False,0.71
C000006339,0.586,True,0.71
C000034139,0.6792,True,0.71
C000035270,0.5178,False,0.71
C000004448,0.1106,False,0.71
C000016863,0.4212,False,0.71
C000031001,0.8247,True,0.71
C000038359,0.8486,True,0.71
C000018046,0.6305,True,0.71
C000033419,0.1514,False,0.71
C000009142,0.6441,True,0.71
C000039021,0.3959,False,0.71
C000033094,0.2164,False,0.71
C000024603,0.5747,True,0.71
C000024193,0.5104,False,0.71
C000023597,0.4893,False,0.71
C000009951,0.5058,False,0.71
C000001684,0.3401,False,0.71
C000017625,0.3901,False,0.71
C000025509,0.4193,False,0.71
C000004568,0.692,True,0.71
C000019694,0.1648,False,0.71
C000028174,0.7648,True,0.71
C000013642,0.4788,False,0.71
C000006303,0.4718,False,0.71
C000021109,0.2986,False,0.71
C000020506,0.501,False,0.71
C000018128,0.9156,True,0.71
C000016969,0.1394,False,0.71
C000013116,0.7077,True,0.71
C000016177,0.6114,True,0.71
C000003691,0.6555,True,0.71
C000017407,0.921,True,0.71
C000002142,0.4172,False,0.71
C000005720,0.4478,False,0.71
C000033900,0.5263,False,0.71
C000003777,0.2788,False,0.71
C000007087,0.5006,False,0.71
C000039526,0.3126,False,0.71
C000012523,0.3477,False,0.71
C000015998,0.9165,True,0.71
C000034095,0.6314,True,0.71
C000009408,0.5469,False,0.71
C000027896,0.2901,False,0.71
C000005733,0.1536,False,0.71
C000037480,0.566,True,0.71
C000015013,0.1979,False,0.71
C000021189,0.4836,False,0.71
C000022107,0.5861,True,0.71
C000037578,0.5019,False,0.71
C000035141,0.9251,True,0.71
C000007215,0.3962,False,0.71
C000019785,0.3941,False,0.71
C000019490,0.2531,False,0.71
C000020959,0.0,False,0.71
C000005436,0.1158,False,0.71
C000023854,0.7373,True,0.71
C000024761,0.3821,False,0.71
C000032354,0.641,True,0.71
C000028440,0.2588,False,0.71
C000024215,0.3942,False,0.71
C000001170,0.5024,False,0.71
C000034978,0.6603,True,0.71
C000002182,0.5684,True,0.71
C000002771,0.3131,False,0.71
C000017244,0.581,True,0.71
C000023230,0.35,False,0.71
C000026116,0.6139,True,0.71
C000027987,0.5141,False,0.71
C000013153,0.2989,False,0.71
C000005001,0.8327,True,0.71
C000009678,0.7347,True,0.71
C000007077,0.5122,False,0.71
C000026338,0.5998,True,0.71
C000031162,0.6903,True,0.71
C000013404,0.5834,True,0.71
C000008885,0.3793,False,0.71
C000007905,0.6989,True,0.71
C000018040,0.4623,False,0.71
C000018224,0.3572,False,0.71
C000006210,0.5632,True,0.71
C000026957,0.4383,False,0.71
C000021279,0.2267,False,0.71
C000006454,0.4047,False,0.71
C000026357,0.2309,False,0.71
C000007907,0.4689,False,0.71
C000017720,0.2365,False,0.71
C000025007,0.2098,False,0.71
C000004884,0.4459,False,0.71
C000029174,0.2839,False,0.71
C000025333,0.6872,True,0.71
C000013599,0.5858,True,0.71
C000031666,0.3245,False,0.71
C000028015,0.3581,False,0.71
C000012905,0.3252,False,0.71
C000005202,0.6623,True,0.71
C000022429,0.2398,False,0.71
C000010621,0.7653,True,0.71
C000018283,0.2692,False,0.71
C000036663,0.6469,True,0.71
C000005892,0.4987,False,0.71
C000030007,0.6193,True,0.71
C000006253,0.2568,False,0.71
C000013308,0.6851,True,0.71
C000028456,0.0312,False,0.71
C000006771,0.662,True,0.71
C000038449,0.4745,False,0.71
C000009982,0.3182,False,0.71
C000003658,0.4682,False,0.71
C000028913,0.4294,False,0.71
C000013963,0.2442,False,0.71
C000005586,0.3944,False,0.71
C000034199,0.4472,False,0.71
C000020108,0.3913,False,0.71
C000034172,0.3036,False,0.71
C000010336,0.4103,False,0.71
C000031882,0.5029,False,0.71
C000020102,0.3708,False,0.71
C000007784,0.6046,True,0.71
C000026020,0.0393,False,0.71
C000021312,0.4016,False,0.71
C000000098,1.0,True,0.71
C000031721,0.4788,False,0.71
C000013288,0.8611,True,0.71
C000006758,0.513,False,0.71
C000002211,0.3316,False,0.71
C000023282,0.657,True,0.71
C000010228,0.1724,False,0.71
C000014781,0.6356,True,0.71
C000001531,0.7084,True,0.71
C000011390,0.6993,True,0.71
C000031549,0.524,False,0.71
C000016572,0.504,False,0.71
C000039003,0.5738,True,0.71
C000019252,0.34,False,0.71
C000002579,0.3126,False,0.71
C000008977,0.5838,True,0.71
C000006673,0.4479,False,0.71
C000027326,0.0,False,0.71
C000034436,0.5753,True,0.71
C000003092,0.2926,False,0.71
C000012227,0.3197,False,0.71
C000011869,0.2631,False,0.71
C000026858,0.5996,True,0.71
C000001567,0.2565,False,0.71
C000027789,0.5757,True,0.71
C000022601,0.5503,True,0.71
C000028631,0.5341,False,0.71
C000016181,0.4345,False,0.71
C000002711,0.4607,False,0.71
C000021416,0.3935,False,0.71
C000034406,0.4297,False,0.71
C000011713,0.3497,False,0.71
C000003139,0.8781,True,0.71
C000001659,0.258,False,0.71
C000004133,0.6105,True,0.71
C000005862,0.2844,False,0.71
C000029718,0.2118,False,0.71
C000008983,0.3998,False,0.71
C000032857,0.5035,False,0.71
C000038522,0.42,False,0.71
C000001645,0.3448,False,0.71
C000033007,0.7887,True,0.71
C000032086,0.5443,False,0.71
C000027793,0.2706,False,0.71
C000039629,0.4259,False,0.71
C000004644,0.6263,True,0.71
C000020457,0.4576,False,0.71
C000026597,0.569,True,0.71
C000009721,0.4278,False,0.71
C000015035,0.4546,False,0.71
C000016798,0.9449,True,0.71
C000002715,0.4687,False,0.71
C000005369,0.5589,True,0.71
C000031126,0.4353,False,0.71
C000027282,0.4148,False,0.71
C000012142,0.5784,True,0.71
C000008936,0.2052,False,0.71
C000009101,0.6288,True,0.71
C000002861,0.4937,False,0.71
C000017714,0.4084,False,0.71
C000022820,0.7157,True,0.71
C000021164,0.4115,False,0.71
C000010388,0.5214,False,0.71
C000032163,0.431,False,0.71
C000004259,0.2104,False,0.71
C000039718,0.698,True,0.71
C000021048,0.4243,False,0.71
C000030330,0.7174,True,0.71
C000035588,0.5702,True,0.71
C000038330,0.3874,False,0.71
C000013591,0.3754,False,0.71
C000008191,0.4362,False,0.71
C000007830,0.699,True,0.71
C000003501,0.4142,False,0.71
C000007977,0.5944,True,0.71
C000037846,0.3694,False,0.71
C000007691,0.4181,False,0.71
C000000087,0.4918,False,0.71
C000025943,0.6744,True,0.71
C000022434,0.2564,False,0.71
C000008566,0.6668,True,0.71
C000025178,0.3803,False,0.71
C000029639,0.589,True,0.71
C000019587,0.1573,False,0.71
C000022923,0.3665,False,0.71
C000033156,0.5404,False,0.71
C000007974,0.7346,True,0.71
C000031468,0.2367,False,0.71
C000035702,0.3642,False,0.71
C000013011,0.8553,True,0.71
C000009926,0.4946,False,0.71
C000001790,0.8399,True,0.71
C000028315,0.8495,True,0.71
C000001205,0.3021,False,0.71
C000019843,0.4932,False,0.71
C000012549,0.3187,False,0.71
C000038904,0.4704,False,0.71
C000026706,0.4052,False,0.71
C000002809,0.7709,True,0.71
C000020559,0.3901,False,0.71
C000010633,0.1758,False,0.71
C000013732,0.1956,False,0.71
C000037377,0.3256,False,0.71
C000011450,0.3289,False,0.71
C000001757,0.3803,False,0.71
C000029200,0.4083,False,0.71
C000033129,0.5848,True,0.71
C000001885,0.291,False,0.71
C000029557,0.146,False,0.71
C000013150,0.6614,True,0.71
C000000339,0.1497,False,0.71
C000024315,0.3989,False,0.71
C000027703,0.478,False,0.71
C000019547,0.6509,True,0.71
C000001099,0.2169,False,0.71
C000039624,0.4167,False,0.71
C000001047,0.659,True,0.71
C000025804,1.0,True,0.71
C000004063,0.2679,False,0.71
C000014714,0.3008,False,0.71
C000034874,0.3949,False,0.71
C000037552,0.2244,False,0.71
C000031521,0.5052,False,0.71
C000026980,0.7199,True,0.71
C000010749,0.76,True,0.71
C000003522,0.3961,False,0.71
C000001137,0.6978,True,0.71
C000001163,0.3061,False,0.71
C000020555,0.5123,False,0.71
C000024678,0.3473,False,0.71
C000039730,0.4711,False,0.71
C000016269,0.5706,True,0.71
C000010002,0.7398,True,0.71
C000011278,0.6498,True,0.71
C000012759,0.021,False,0.71
C000034367,0.713,True,0.71
C000001667,0.62,True,0.71
C000011131,0.4843,False,0.71
C000015453,0.454,False,0.71
C000030667,0.5195,False,0.71
C000033330,0.3562,False,0.71
C000018199,0.6178,True,0.71
C000021811,0.4507,False,0.71
C000026109,0.6745,True,0.71
C000022642,0.7489,True,0.71
C000010327,0.1095,False,0.71
C000020448,0.507,False,0.71
C000017671,0.1589,False,0.71
C000015384,0.334,False,0.71
C000030386,0.4831,False,0.71
