dimension,group,metric,estimate,lower,upper,rows,service_clusters,interval_method,inferential_status,validity,quantity_status,estimate_number_id,lower_number_id,upper_number_id,rows_number_id,service_clusters_number_id
service,A-GYN,specificity,0.9685147159479809,,,1543,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0042-ESTIMATE,,,N-MODEL-SUBGROUPS-0042-ROWS,N-MODEL-SUBGROUPS-0042-SERVICE_CLUSTERS
service,A-GYN,brier,0.2199686965392093,,,1543,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0043-ESTIMATE,,,N-MODEL-SUBGROUPS-0043-ROWS,N-MODEL-SUBGROUPS-0043-SERVICE_CLUSTERS
service,A-GYN,net_benefit,-0.048640720401132445,,,1543,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0044-ESTIMATE,,,N-MODEL-SUBGROUPS-0044-ROWS,N-MODEL-SUBGROUPS-0044-SERVICE_CLUSTERS
service,A-NEURO,sensitivity,0.0,,,1792,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0045-ESTIMATE,,,N-MODEL-SUBGROUPS-0045-ROWS,N-MODEL-SUBGROUPS-0045-SERVICE_CLUSTERS
service,A-NEURO,specificity,0.9837702871410736,,,1792,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0046-ESTIMATE,,,N-MODEL-SUBGROUPS-0046-ROWS,N-MODEL-SUBGROUPS-0046-SERVICE_CLUSTERS
service,A-NEURO,brier,0.23797719817522323,,,1792,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0047-ESTIMATE,,,N-MODEL-SUBGROUPS-0047-ROWS,N-MODEL-SUBGROUPS-0047-SERVICE_CLUSTERS
service,A-NEURO,net_benefit,-0.02367246240601504,,,1792,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0048-ESTIMATE,,,N-MODEL-SUBGROUPS-0048-ROWS,N-MODEL-SUBGROUPS-0048-SERVICE_CLUSTERS
service,A-OPHT,sensitivity,0.0,,,1782,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0049-ESTIMATE,,,N-MODEL-SUBGROUPS-0049-ROWS,N-MODEL-SUBGROUPS-0049-SERVICE_CLUSTERS
service,A-OPHT,specificity,0.9576059850374065,,,1782,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0050-ESTIMATE,,,N-MODEL-SUBGROUPS-0050-ROWS,N-MODEL-SUBGROUPS-0050-SERVICE_CLUSTERS
service,A-OPHT,brier,0.25851472293490463,,,1782,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0051-ESTIMATE,,,N-MODEL-SUBGROUPS-0051-ROWS,N-MODEL-SUBGROUPS-0051-SERVICE_CLUSTERS
service,A-OPHT,net_benefit,-0.06226002717230787,,,1782,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0052-ESTIMATE,,,N-MODEL-SUBGROUPS-0052-ROWS,N-MODEL-SUBGROUPS-0052-SERVICE_CLUSTERS
service,A-ORTH,sensitivity,0.0,,,1772,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0053-ESTIMATE,,,N-MODEL-SUBGROUPS-0053-ROWS,N-MODEL-SUBGROUPS-0053-SERVICE_CLUSTERS
service,A-ORTH,specificity,0.9747245625405055,,,1772,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0054-ESTIMATE,,,N-MODEL-SUBGROUPS-0054-ROWS,N-MODEL-SUBGROUPS-0054-SERVICE_CLUSTERS
service,A-ORTH,brier,0.2609305697742664,,,1772,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0055-ESTIMATE,,,N-MODEL-SUBGROUPS-0055-ROWS,N-MODEL-SUBGROUPS-0055-SERVICE_CLUSTERS
service,A-ORTH,net_benefit,-0.03590946893192349,,,1772,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0056-ESTIMATE,,,N-MODEL-SUBGROUPS-0056-ROWS,N-MODEL-SUBGROUPS-0056-SERVICE_CLUSTERS
service,A-PAED,sensitivity,0.0,,,2640,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0057-ESTIMATE,,,N-MODEL-SUBGROUPS-0057-ROWS,N-MODEL-SUBGROUPS-0057-SERVICE_CLUSTERS
service,A-PAED,specificity,0.9080321285140562,,,2640,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0058-ESTIMATE,,,N-MODEL-SUBGROUPS-0058-ROWS,N-MODEL-SUBGROUPS-0058-SERVICE_CLUSTERS
service,A-PAED,brier,0.2631265209734849,,,2640,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0059-ESTIMATE,,,N-MODEL-SUBGROUPS-0059-ROWS,N-MODEL-SUBGROUPS-0059-SERVICE_CLUSTERS
service,A-PAED,net_benefit,-0.14152711323763956,,,2640,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0060-ESTIMATE,,,N-MODEL-SUBGROUPS-0060-ROWS,N-MODEL-SUBGROUPS-0060-SERVICE_CLUSTERS
service,A-PLAS,sensitivity,0.0,,,1555,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0061-ESTIMATE,,,N-MODEL-SUBGROUPS-0061-ROWS,N-MODEL-SUBGROUPS-0061-SERVICE_CLUSTERS
service,A-PLAS,specificity,0.9923451635351427,,,1555,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0062-ESTIMATE,,,N-MODEL-SUBGROUPS-0062-ROWS,N-MODEL-SUBGROUPS-0062-SERVICE_CLUSTERS
service,A-PLAS,brier,0.20418797636012861,,,1555,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0063-ESTIMATE,,,N-MODEL-SUBGROUPS-0063-ROWS,N-MODEL-SUBGROUPS-0063-SERVICE_CLUSTERS
service,A-PLAS,net_benefit,-0.011541716026400407,,,1555,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0064-ESTIMATE,,,N-MODEL-SUBGROUPS-0064-ROWS,N-MODEL-SUBGROUPS-0064-SERVICE_CLUSTERS
service,A-THOR,sensitivity,0.0,,,1772,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0065-ESTIMATE,,,N-MODEL-SUBGROUPS-0065-ROWS,N-MODEL-SUBGROUPS-0065-SERVICE_CLUSTERS
service,A-THOR,specificity,0.9127979924717692,,,1772,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0066-ESTIMATE,,,N-MODEL-SUBGROUPS-0066-ROWS,N-MODEL-SUBGROUPS-0066-SERVICE_CLUSTERS
service,A-THOR,brier,0.28945851310948084,,,1772,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0067-ESTIMATE,,,N-MODEL-SUBGROUPS-0067-ROWS,N-MODEL-SUBGROUPS-0067-SERVICE_CLUSTERS
service,A-THOR,net_benefit,-0.12798503029582986,,,1772,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0068-ESTIMATE,,,N-MODEL-SUBGROUPS-0068-ROWS,N-MODEL-SUBGROUPS-0068-SERVICE_CLUSTERS
service,A-URO,sensitivity,0.0,,,1694,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0069-ESTIMATE,,,N-MODEL-SUBGROUPS-0069-ROWS,N-MODEL-SUBGROUPS-0069-SERVICE_CLUSTERS
