site,service_code,week,cases,cancels,supplied_rate,supplied_alert,reconciled_rate,rate_reconciliation_error,seasonal_expected_rate,shrunk_rate,z_value,p_value,baseline_prior_weeks,baseline_available,baseline_rule,maturity_status,minimum_denominator_met,direction,q_value_by,candidate,persistent_breach,reproducible_alert,budget_suppressed,supplied_alert_reproduced,quantity_status,limitation,cases_number_id,cancels_number_id,supplied_rate_number_id,reconciled_rate_number_id,rate_reconciliation_error_number_id,baseline_prior_weeks_number_id,seasonal_expected_rate_number_id,shrunk_rate_number_id,z_value_number_id,p_value_number_id,q_value_by_number_id
A,A-URO,2025-07-28,19,5,0.2632,True,0.2631578947368421,4.2105263157898865e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,False,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0011-CASES,N-MONITOR-REPLAY-0011-CANCELS,N-MONITOR-REPLAY-0011-SUPPLIED_RATE,N-MONITOR-REPLAY-0011-RECONCILED_RATE,N-MONITOR-REPLAY-0011-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0011-BASELINE_PRIOR_WEEKS,,,,,
A,A-VASC,2025-07-28,18,3,0.1667,False,0.16666666666666666,3.333333333332966e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0012-CASES,N-MONITOR-REPLAY-0012-CANCELS,N-MONITOR-REPLAY-0012-SUPPLIED_RATE,N-MONITOR-REPLAY-0012-RECONCILED_RATE,N-MONITOR-REPLAY-0012-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0012-BASELINE_PRIOR_WEEKS,,,,,
B,B-CARD,2025-07-28,7,1,0.1429,False,0.14285714285714285,4.285714285715003e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0013-CASES,N-MONITOR-REPLAY-0013-CANCELS,N-MONITOR-REPLAY-0013-SUPPLIED_RATE,N-MONITOR-REPLAY-0013-RECONCILED_RATE,N-MONITOR-REPLAY-0013-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0013-BASELINE_PRIOR_WEEKS,,,,,
B,B-ENT,2025-07-28,11,2,0.1818,True,0.18181818181818182,1.8181818181833842e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,False,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0014-CASES,N-MONITOR-REPLAY-0014-CANCELS,N-MONITOR-REPLAY-0014-SUPPLIED_RATE,N-MONITOR-REPLAY-0014-RECONCILED_RATE,N-MONITOR-REPLAY-0014-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0014-BASELINE_PRIOR_WEEKS,,,,,
B,B-GEN,2025-07-28,13,0,0.0,False,0.0,0.0,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0015-CASES,N-MONITOR-REPLAY-0015-CANCELS,N-MONITOR-REPLAY-0015-SUPPLIED_RATE,N-MONITOR-REPLAY-0015-RECONCILED_RATE,N-MONITOR-REPLAY-0015-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0015-BASELINE_PRIOR_WEEKS,,,,,
B,B-GYN,2025-07-28,16,1,0.0625,False,0.0625,0.0,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0016-CASES,N-MONITOR-REPLAY-0016-CANCELS,N-MONITOR-REPLAY-0016-SUPPLIED_RATE,N-MONITOR-REPLAY-0016-RECONCILED_RATE,N-MONITOR-REPLAY-0016-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0016-BASELINE_PRIOR_WEEKS,,,,,
B,B-NEURO,2025-07-28,10,1,0.1,False,0.1,0.0,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0017-CASES,N-MONITOR-REPLAY-0017-CANCELS,N-MONITOR-REPLAY-0017-SUPPLIED_RATE,N-MONITOR-REPLAY-0017-RECONCILED_RATE,N-MONITOR-REPLAY-0017-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0017-BASELINE_PRIOR_WEEKS,,,,,
B,B-OPHT,2025-07-28,12,2,0.1667,False,0.16666666666666666,3.333333333332966e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0018-CASES,N-MONITOR-REPLAY-0018-CANCELS,N-MONITOR-REPLAY-0018-SUPPLIED_RATE,N-MONITOR-REPLAY-0018-RECONCILED_RATE,N-MONITOR-REPLAY-0018-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0018-BASELINE_PRIOR_WEEKS,,,,,
B,B-ORTH,2025-07-28,16,0,0.0,False,0.0,0.0,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0019-CASES,N-MONITOR-REPLAY-0019-CANCELS,N-MONITOR-REPLAY-0019-SUPPLIED_RATE,N-MONITOR-REPLAY-0019-RECONCILED_RATE,N-MONITOR-REPLAY-0019-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0019-BASELINE_PRIOR_WEEKS,,,,,
B,B-PAED,2025-07-28,10,1,0.1,False,0.1,0.0,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0020-CASES,N-MONITOR-REPLAY-0020-CANCELS,N-MONITOR-REPLAY-0020-SUPPLIED_RATE,N-MONITOR-REPLAY-0020-RECONCILED_RATE,N-MONITOR-REPLAY-0020-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0020-BASELINE_PRIOR_WEEKS,,,,,
B,B-PLAS,2025-07-28,10,1,0.1,False,0.1,0.0,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0021-CASES,N-MONITOR-REPLAY-0021-CANCELS,N-MONITOR-REPLAY-0021-SUPPLIED_RATE,N-MONITOR-REPLAY-0021-RECONCILED_RATE,N-MONITOR-REPLAY-0021-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0021-BASELINE_PRIOR_WEEKS,,,,,
B,B-THOR,2025-07-28,9,1,0.1111,False,0.1111111111111111,1.1111111111100636e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0022-CASES,N-MONITOR-REPLAY-0022-CANCELS,N-MONITOR-REPLAY-0022-SUPPLIED_RATE,N-MONITOR-REPLAY-0022-RECONCILED_RATE,N-MONITOR-REPLAY-0022-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0022-BASELINE_PRIOR_WEEKS,,,,,
B,B-URO,2025-07-28,6,2,0.3333,True,0.3333333333333333,3.333333333332966e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,False,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0023-CASES,N-MONITOR-REPLAY-0023-CANCELS,N-MONITOR-REPLAY-0023-SUPPLIED_RATE,N-MONITOR-REPLAY-0023-RECONCILED_RATE,N-MONITOR-REPLAY-0023-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0023-BASELINE_PRIOR_WEEKS,,,,,
B,B-VASC,2025-07-28,17,2,0.1176,False,0.11764705882352941,4.705882352941393e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0024-CASES,N-MONITOR-REPLAY-0024-CANCELS,N-MONITOR-REPLAY-0024-SUPPLIED_RATE,N-MONITOR-REPLAY-0024-RECONCILED_RATE,N-MONITOR-REPLAY-0024-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0024-BASELINE_PRIOR_WEEKS,,,,,
A,A-CARD,2025-08-04,39,4,0.1026,False,0.10256410256410256,3.5897435897436214e-05,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0025-CASES,N-MONITOR-REPLAY-0025-CANCELS,N-MONITOR-REPLAY-0025-SUPPLIED_RATE,N-MONITOR-REPLAY-0025-RECONCILED_RATE,N-MONITOR-REPLAY-0025-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0025-BASELINE_PRIOR_WEEKS,,,,,
A,A-ENT,2025-08-04,35,6,0.1714,False,0.17142857142857143,2.8571428571433355e-05,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0026-CASES,N-MONITOR-REPLAY-0026-CANCELS,N-MONITOR-REPLAY-0026-SUPPLIED_RATE,N-MONITOR-REPLAY-0026-RECONCILED_RATE,N-MONITOR-REPLAY-0026-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0026-BASELINE_PRIOR_WEEKS,,,,,
A,A-GEN,2025-08-04,33,4,0.1212,False,0.12121212121212122,1.212121212121331e-05,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0027-CASES,N-MONITOR-REPLAY-0027-CANCELS,N-MONITOR-REPLAY-0027-SUPPLIED_RATE,N-MONITOR-REPLAY-0027-RECONCILED_RATE,N-MONITOR-REPLAY-0027-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0027-BASELINE_PRIOR_WEEKS,,,,,
A,A-GYN,2025-08-04,38,0,0.0,False,0.0,0.0,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0028-CASES,N-MONITOR-REPLAY-0028-CANCELS,N-MONITOR-REPLAY-0028-SUPPLIED_RATE,N-MONITOR-REPLAY-0028-RECONCILED_RATE,N-MONITOR-REPLAY-0028-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0028-BASELINE_PRIOR_WEEKS,,,,,
A,A-NEURO,2025-08-04,43,2,0.0465,False,0.046511627906976744,1.1627906976743874e-05,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0029-CASES,N-MONITOR-REPLAY-0029-CANCELS,N-MONITOR-REPLAY-0029-SUPPLIED_RATE,N-MONITOR-REPLAY-0029-RECONCILED_RATE,N-MONITOR-REPLAY-0029-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0029-BASELINE_PRIOR_WEEKS,,,,,
A,A-OPHT,2025-08-04,55,5,0.0909,False,0.09090909090909091,9.090909090916921e-06,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0030-CASES,N-MONITOR-REPLAY-0030-CANCELS,N-MONITOR-REPLAY-0030-SUPPLIED_RATE,N-MONITOR-REPLAY-0030-RECONCILED_RATE,N-MONITOR-REPLAY-0030-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0030-BASELINE_PRIOR_WEEKS,,,,,
A,A-ORTH,2025-08-04,33,5,0.1515,False,0.15151515151515152,1.5151515151523576e-05,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0031-CASES,N-MONITOR-REPLAY-0031-CANCELS,N-MONITOR-REPLAY-0031-SUPPLIED_RATE,N-MONITOR-REPLAY-0031-RECONCILED_RATE,N-MONITOR-REPLAY-0031-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0031-BASELINE_PRIOR_WEEKS,,,,,
A,A-PAED,2025-08-04,39,0,0.0,False,0.0,0.0,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0032-CASES,N-MONITOR-REPLAY-0032-CANCELS,N-MONITOR-REPLAY-0032-SUPPLIED_RATE,N-MONITOR-REPLAY-0032-RECONCILED_RATE,N-MONITOR-REPLAY-0032-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0032-BASELINE_PRIOR_WEEKS,,,,,
A,A-PLAS,2025-08-04,41,1,0.0244,False,0.024390243902439025,9.756097560976312e-06,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0033-CASES,N-MONITOR-REPLAY-0033-CANCELS,N-MONITOR-REPLAY-0033-SUPPLIED_RATE,N-MONITOR-REPLAY-0033-RECONCILED_RATE,N-MONITOR-REPLAY-0033-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0033-BASELINE_PRIOR_WEEKS,,,,,
A,A-THOR,2025-08-04,32,2,0.0625,False,0.0625,0.0,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0034-CASES,N-MONITOR-REPLAY-0034-CANCELS,N-MONITOR-REPLAY-0034-SUPPLIED_RATE,N-MONITOR-REPLAY-0034-RECONCILED_RATE,N-MONITOR-REPLAY-0034-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0034-BASELINE_PRIOR_WEEKS,,,,,
A,A-URO,2025-08-04,34,4,0.1176,False,0.11764705882352941,4.705882352941393e-05,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0035-CASES,N-MONITOR-REPLAY-0035-CANCELS,N-MONITOR-REPLAY-0035-SUPPLIED_RATE,N-MONITOR-REPLAY-0035-RECONCILED_RATE,N-MONITOR-REPLAY-0035-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0035-BASELINE_PRIOR_WEEKS,,,,,
A,A-VASC,2025-08-04,36,7,0.1944,False,0.19444444444444445,4.444444444445805e-05,,,,,1,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0036-CASES,N-MONITOR-REPLAY-0036-CANCELS,N-MONITOR-REPLAY-0036-SUPPLIED_RATE,N-MONITOR-REPLAY-0036-RECONCILED_RATE,N-MONITOR-REPLAY-0036-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0036-BASELINE_PRIOR_WEEKS,,,,,
